Run	Condition	BioReplicate	technical_replicate	sample_name	
pcf87.mzML	tumor_fresh frozen	32	a	FT14a	
pcf88.mzML	tumor_fresh frozen	33	b	FT14b	
pcf89.mzML	tumor_fresh frozen	34	a	FT15a	
pcf90.mzML	tumor_fresh frozen	35	b	FT15b	
pcf91.mzML	tumor_fresh frozen	36	c	FT15c	
pcf92.mzML	tumor_fresh frozen	37	d	FT15d	
pcf93.mzML	tumor_fresh frozen	38	a	FT16a	
pcf94.mzML	tumor_fresh frozen	39	b	FT16b	
pcf95.mzML	tumor_fresh frozen	40	a	FT31a	
pcf96.mzML	tumor_fresh frozen	41	b	FT31b	
pcf97.mzML	tumor_fresh frozen	42	a	FT32a	
pcf98.mzML	tumor_fresh frozen	43	b	FT32b	
pcf99.mzML	tumor_fresh frozen	44	a	FT33a	
pcf100.mzML	tumor_fresh frozen	45	b	FT33b	
pcf101.mzML	tumor_fresh frozen	46	a	FT34a	
pcf102.mzML	tumor_fresh frozen	47	b	FT34b	
pcf103.mzML	tumor_fresh frozen	48	a	FT35a	
pcf104.mzML	tumor_fresh frozen	49	b	FT35b	
pcf105.mzML	tumor_fresh frozen	50	a	FT36a	
pcf106.mzML	tumor_fresh frozen	51	b	FT36b	
pcf107.mzML	tumor_fresh frozen	52	a	FT37a	
pcf108.mzML	tumor_fresh frozen	53	b	FT37b	
pcf109.mzML	tumor_fresh frozen	54	a	FT38a	
pcf110.mzML	tumor_fresh frozen	55	b	FT38b	
pcf111.mzML	normal adjacent_ffpe	1	a	PN1a	
pcf112.mzML	normal adjacent_ffpe	2	b	PN1b	
pcf113.mzML	normal adjacent_ffpe	3	a	PN2a	
pcf114.mzML	normal adjacent_ffpe	4	b	PN2b	
pcf115.mzML	normal adjacent_ffpe	5	c	PN2c	
pcf116.mzML	normal adjacent_ffpe	6	d	PN2d	
pcf117.mzML	normal adjacent_ffpe	7	e	PN2e	
pcf118.mzML	normal adjacent_ffpe	8	f	PN2f	
pcf119.mzML	normal adjacent_ffpe	9	a	PN3a	
pcf120.mzML	normal adjacent_ffpe	10	b	PN3b	
pcf121.mzML	normal adjacent_ffpe	11	a	PN4a	
pcf122.mzML	normal adjacent_ffpe	12	b	PN4b	
pcf123.mzML	normal adjacent_ffpe	13	a	PN5a	
pcf124.mzML	normal adjacent_ffpe	14	b	PN5b	
pcf125.mzML	normal adjacent_ffpe	15	a	PN6a	
pcf126.mzML	normal adjacent_ffpe	16	b	PN6b	
pcf127.mzML	normal adjacent_ffpe	17	a	PN7a	
