Run	Condition	BioReplicate
weissto_I170422_012.mzML	PCNSL	1
weissto_I170425_002.mzML	PCNSL	2
weissto_I170503_008.mzML	PCNSL	3
weissto_I170423_012.mzML	PCNSL	4
weissto_I170508_009.mzML	PCNSL	5
weissto_I170422_014.mzML	PCNSL	6
weissto_I170427_003.mzML	PCNSL	7
weissto_I170503_011.mzML	PCNSL	8
weissto_I170425_015.mzML	PCNSL	9
weissto_I170422_004.mzML	PCNSL	10
weissto_I170502_020.mzML	PCNSL	11
weissto_I170423_017.mzML	PCNSL	12
weissto_I170425_006.mzML	PCNSL	13
weissto_I170505_003.mzML	PCNSL	14
weissto_I170422_015.mzML	PCNSL	15
weissto_I170511_013.mzML	PCNSL	16
weissto_I170503_019.mzML	PCNSL	17
weissto_I170423_004.mzML	PCNSL	18
weissto_I170425_012.mzML	PCNSL	19
weissto_I170505_020.mzML	PCNSL	20
weissto_I170422_013.mzML	PCNSL	21
weissto_I170502_016.mzML	PCNSL	22
weissto_I170503_015.mzML	PCNSL	23
weissto_I170423_005.mzML	PCNSL	24
weissto_I170511_011.mzML	PCNSL	25
weissto_I170505_012.mzML	PCNSL	26
weissto_I170422_009.mzML	PCNSL	27
weissto_I170427_009.mzML	PCNSL	28
weissto_I170423_007.mzML	PCNSL	29
weissto_I170427_011.mzML	PCNSL	30
weissto_I170505_010.mzML	PCNSL	31
weissto_I170422_020.mzML	PCNSL	32
weissto_I170425_017.mzML	PCNSL	33
weissto_I170503_013.mzML	PCNSL	34
weissto_I170423_018.mzML	PCNSL	35
weissto_I170505_002.mzML	PCNSL	36
weissto_I170422_003.mzML	PCNSL	37
weissto_I170502_018.mzML	PCNSL	38
weissto_I170503_002.mzML	PCNSL	39
weissto_I170422_018.mzML	PCNSL	40
weissto_I170425_004.mzML	PCNSL	41
weissto_I170511_016.mzML	PCNSL	42
weissto_I170423_002.mzML	PCNSL	43
weissto_I170427_002.mzML	PCNSL	44
weissto_I170503_018.mzML	PCNSL	45
weissto_I170508_006.mzML	PCNSL	46
weissto_I170505_018.mzML	PCNSL	47
weissto_I170511_015.mzML	PCNSL	48
weissto_I170503_004.mzML	PCNSL	49
weissto_I170422_002.mzML	eDLBCL	1
weissto_I170425_001.mzML	eDLBCL	2
weissto_I170503_001.mzML	eDLBCL	3
weissto_I170422_016.mzML	eDLBCL	4
weissto_I170425_007.mzML	eDLBCL	5
weissto_I170505_004.mzML	eDLBCL	6
weissto_I170508_004.mzML	eDLBCL	7
weissto_I170427_010.mzML	eDLBCL	8
weissto_I170503_014.mzML	eDLBCL	9
weissto_I170422_010.mzML	eDLBCL	10
weissto_I170425_016.mzML	eDLBCL	11
weissto_I170505_019.mzML	eDLBCL	12
weissto_I170423_015.mzML	eDLBCL	13
weissto_I170427_005.mzML	eDLBCL	14
weissto_I170503_005.mzML	eDLBCL	15
weissto_I170422_007.mzML	eDLBCL	16
weissto_I170425_011.mzML	eDLBCL	17
weissto_I170503_016.mzML	eDLBCL	18
weissto_I170508_005.mzML	eDLBCL	19
weissto_I170502_015.mzML	eDLBCL	20
weissto_I170505_009.mzML	eDLBCL	21
weissto_I170422_017.mzML	eDLBCL	22
weissto_I170425_005.mzML	eDLBCL	23
weissto_I170423_008.mzML	eDLBCL	24
weissto_I170427_007.mzML	eDLBCL	25
weissto_I170505_006.mzML	eDLBCL	26
weissto_I170422_011.mzML	eDLBCL	27
weissto_I170425_019.mzML	eDLBCL	28
weissto_I170503_012.mzML	eDLBCL	29
weissto_I170423_009.mzML	eDLBCL	30
weissto_I170502_017.mzML	eDLBCL	31
weissto_I170505_015.mzML	eDLBCL	32
weissto_I170423_001.mzML	eDLBCL	33
weissto_I170425_013.mzML	eDLBCL	34
weissto_I170505_001.mzML	eDLBCL	35
weissto_I170422_005.mzML	eDLBCL	36
weissto_I170502_013.mzML	eDLBCL	37
weissto_I170511_014.mzML	eDLBCL	38
weissto_I170505_011.mzML	eDLBCL	39
weissto_I170422_001.mzML	eDLBCL	40
weissto_I170427_001.mzML	eDLBCL	41
weissto_I170503_020.mzML	eDLBCL	42
weissto_I170423_019.mzML	eDLBCL	43
weissto_I170425_010.mzML	eDLBCL	44
weissto_I170505_007.mzML	eDLBCL	45
weissto_I170422_019.mzML	eDLBCL	46
weissto_I170427_008.mzML	eDLBCL	47
weissto_I170503_010.mzML	eDLBCL	48
weissto_I170423_011.mzML	eDLBCL	49
weissto_I170425_018.mzML	eDLBCL	50
weissto_I170505_017.mzML	eDLBCL	51
weissto_I170423_006.mzML	eDLBCL	52
weissto_I170425_003.mzML	eDLBCL	53
weissto_I170503_017.mzML	eDLBCL	54
weissto_I170422_008.mzML	eDLBCL	55
weissto_I170511_012.mzML	eDLBCL	56
weissto_I170505_013.mzML	eDLBCL	57
weissto_I170423_020.mzML	eDLBCL	58
weissto_I170502_019.mzML	eDLBCL	59
weissto_I170503_003.mzML	eDLBCL	60
weissto_I170423_010.mzML	IVL	1
weissto_I170427_012.mzML	IVL	2
weissto_I170505_016.mzML	IVL	3
weissto_I170508_002.mzML	IVL	4
