Protein	FN1	FN2	FN3	FN4	FN5	FN6	FN7	FN8	FN9	FN10	FN11	FN12	FN13	FN14	FN15	FN16	FN31	FN32	FN33	FN34	FN35	FN36	FN37	FN38	FT1	FT2	FT3	FT4	FT5	FT6	FT7	FT8	FT9	FT10	FT11	FT12	FT13	FT14	FT15	FT16	FT31	FT32	FT33	FT34	FT35	FT36	FT37	FT38	PN1	PN2	PN3	PN4	PN5	PN6	PN7	PN8	PN9	PN10	PN11	PN12	PN13	PN14	PN15	PN16	PN31	PN32	PN33	PN34	PN35	PN36	PN37	PN38	PT1	PT2	PT3	PT4	PT5	PT6	PT7	PT8	PT9	PT10	PT11	PT12	PT13	PT14	PT15	PT16	PT31	PT32	PT33	PT34	PT35	PT36	PT37	PT38
Q9NX62	16197	6505	9520.5	21546	17232.5	21686	8892.5	4094	4518	4819	5786	5238.5	4619.5	10852.5	3557.5	1443	4764.5	1220.5	5403	10134.5	1796	11251.5	3550	4254	24802	5142	19963.5	15556.5	23179.5	22196	9138	2494	3796	2899	1275	3672	6840.5	5251.5	3112.5	7437	9179	5616.5	1381.5	1063	3603.5	1503.5	2661	6626.5	23165.5	20506.5	25456.5	25941	28034.5	25271.5	19404	12305.5	12430	11936.5	12497	10039	10350.5	12418.5	7684.5	6010.5	13921	16091.5	7895.5	26150.5	9001	15771.5	14434	7165	21023	13319	18652	37618	39682.5	29878.5	14448.5	12876	8492.5	16745	13637.5	12140	10029	17736	9828.5	7908.5	10474.5	10086.5	8708	11464	3621	20015	12251	9974.5
Q9NX63	17633.5	19459	18829.5	17622.5	21260.5	23473.5	18543	17730	16044	19994.5	12365.5	14474	20790	22385	21532.5	13797.5	24884.5	24576.5	16674	23795	17143	13121	13477.5	23436	22876	17676	30450.5	11354.5	25820	24270.5	26038	20419.5	28242	15842.5	22390	27943	26258.5	19607.5	19767	23257.5	33481	42822	24363.5	24073	26108.5	17301.5	19030	30760	6787.5	5782.5	4702.5	9134	8335	12997	11278	12567.5	6303	8602.5	10133.5	17888	11357.5	8131.5	16297.5	16487.5	12668.5	9570	10335	10863.5	10811.5	7209.5	6965.5	9952.5	19035	7738	10918.5	8075.5	13044	13658	19143	15046.5	9177	5995	16809	6261.5	9111.5	10532.5	9242.5	14812	26711	25298	15941	14598	20838	13722	9794	23198.5
Q9NXG2	16153.5	15038	18505.5	14266.5	15931	15681	12554.5	13077.5	23637	16052.5	13855.5	10182	13891.5	11269	16219.5	14193	23916	15899	10094.5	9931	12936	14199.5	14331.5	13870.5	12381	13987	12837	14559	19457	15133.5	16734	14924	11949.5	14614	13146	12830.5	16045.5	10301.5	14673	13436.5	18323.5	15062	16079	14741.5	12727	5883.5	15225.5	17687	10338.5	11220.5	8710.5	11880.5	18097	12619	10351.5	15021.5	13120.5	10083.5	13860.5	19646.5	14354	10939	15259.5	15823	17841	17252.5	19212	19035	17094	17557	25575	13508	13470	11023	19588	10113	11290.5	14598	17167.5	13648.5	11492.5	17794	13619.5	11864	15250	13075	12142.5	15361	19438	13610	16208	17847	13931.5	10496.5	10749	19492
Q9NXR7	12155	13997	16275.5	18437.5	16231.5	20381.5	12657	2636	7070	8799	7841	6303.5	2752.5	18952	9500	19099.5	2780.5	9893	14105.5	13930.5	7642.5	17329	15214	8245.5	19047	15233	18397.5	14068	20563.5	19929	11877.5	6224	6966	2221	8625.5	11983	11130	26674.5	8088	17874	7492	10015.5	6253	11874.5	6288	12395.5	10053.5	7717	23077	7715.5	23632	23526.5	22297	20147	13400	5426.5	7585.5	7238	6723.5	12987	4494.5	15705.5	4122.5	13954.5	13242.5	6813	6289	10369	9651.5	8223.5	8738	9100.5	20039.5	6128	23760	23425	28196.5	26457	10194	5937	4530.5	7307	6081	8024.5	5556	17105.5	5464.5	3715	6958	5432.5	10550.5	5581	2083.5	8226	10330	4891
Q9NY12	5652.5	9422	10631	6864	9703	6224.5	9856.5	8885	9268	9469	9397.5	8330.5	8785.5	6251.5	10912	5056.5	10305.5	7464.5	7908	9828	10183	12702	6456.5	9505.5	5732.5	10533	15407.5	6907.5	12407.5	10258	11002.5	10003.5	9591.5	6813	7571	24327	8720	7857	10700.5	6886.5	20273	11904.5	11504.5	8590.5	9908.5	7603.5	8148	11926.5	4564.5	4389.5	7498	11897.5	4319	8723.5	6716	7030	11959	21918.5	17339.5	14287.5	11741.5	5299.5	8261.5	6779.5	8161	9006	11296	5011.5	10789.5	14087	13516	10713	10074.5	9851	7314.5	4874	9742	6655.5	14450.5	9884.5	12800	20391	7701	7368.5	6371.5	5356.5	9175	6428	18952.5	14197	9265.5	12241	5197.5	11237	22355.5	13563.5
Q9NY33	15348.5	21914	20173.5	27897	33540.5	35037	13898	13988	25591	33894.5	21288.5	23101.5	23211.5	37351.5	31813.5	8031	32233	14727	17648.5	37240.5	25331.5	26971.5	19163.5	12088	24863.5	16887	18318	15327	27181	34787.5	21715	28212	17940	21776.5	14450	13443.5	14427	23678	50733.5	25333.5	23472	14150.5	14418	15929	33538	25949.5	29442.5	22664.5	11453	11458.5	14292	12582	14762	22186	13771	18796	9258.5	13760	23982	38026	15613	9503.5	11272	6926	13411	25308	21062.5	13021.5	10478	15433	21223	16410.5	15334	12591	15785	18637	22833	11403	17176.5	21898.5	18588	26141.5	19753.5	20505.5	26289	18397	18149.5	10732	22216.5	11450	18287.5	35480	11591	11417	10466.5	28451.5
Q9NYF8	22108	13048	15899.5	19918.5	18017	12676	17005	12618.5	6499	15628	14107.5	11280.5	12135	16050.5	13546.5	24160.5	16154	14432	15437.5	10508	14837	10788	15724.5	17158	13908	12040	17080.5	12147.5	10563	8595	14102.5	11620	15613	4180.5	14494	9600.5	4928.5	16932	10548	16673	13121.5	14289.5	10376	10528	12397	12505.5	14773	9148.5	8753.5	24448.5	24420	25844.5	27528	19496.5	24122.5	9910	10106	17864	16457	8079.5	23080.5	20701.5	17450.5	23047.5	12425	9169	10873	23745	10857	19737	12793	22813.5	26248	19763	15850	23309	13963.5	20668	17450	6036	20736.5	4721.5	18253.5	13587	13557.5	16704	19415.5	26925.5	7781.5	13684.5	14398.5	19347	11116	12297	19882.5	16311
Q9NYJ8	218099.5	45432	164916	51574.5	63444.5	28720	381255	208967.5	53380.5	76527	15402.5	61691	149140.5	64323	205772.5	289298	24500	129833.5	355174	52512	131233.5	70641	280518	150970	35290.5	171288	30367.5	255520.5	23969.5	64470	212327	113797.5	15185.5	164256	154370	102062	135933.5	259623	29445	232933	66908.5	133295.5	238194	413202	126829.5	39780.5	382196	169554.5	104835	168308.5	153333	93897.5	130821.5	134071	257186.5	276157.5	277419.5	355992	327581	141632.5	303445.5	497106.5	279074	273070.5	288222.5	283515.5	181965.5	443212	274864.5	128024.5	382892	310916	194598.5	161189	141180	78127	144273.5	92520.5	190162.5	73473.5	200140.5	107223	295028.5	318123.5	254457	252234.5	233136	220309	123232	247332	244259	143139	353747	439108	278968.5	171816.5
Q9NYL2	15910	24745	30798.5	21177.5	33748.5	23443.5	17987	14253.5	14735	14877	15684	17572.5	19531.5	30536.5	19188	30364	18524.5	21260.5	14778	13739.5	21230.5	18474	13813.5	20047	24711	28628	11743	23804.5	28893.5	22172	11141.5	19861	16488	10767	11027.5	15911	16436.5	24255	22386.5	25609	20828.5	13292	21397.5	16971	17195.5	15031	13702.5	13846	12447	18693.5	16323.5	14311	21860	19316	18613	16188.5	13838	17812.5	12631	13725	13215.5	14460.5	16920.5	20577.5	19059	15270	20028.5	11343	16212.5	21030.5	11059.5	15182	21199	17159	22609	15778	19748.5	15962.5	19291.5	15679.5	10437.5	11024	15562	18477	12101	15749	11892.5	19700.5	17968	15284	17651	12400	10018	10756	11309.5	13180
Q9NYL9	25489	23082	27478.5	32523.5	29518	30650.5	12248	6469.5	16552	8859	15291	12667.5	16796	38433	26204.5	15590	13674.5	9569.5	12190.5	11548.5	11742	7271.5	17302.5	9761	23544	27486	35608.5	25574.5	29350.5	35098.5	14787	14329	9200	7349	8515.5	18994	12562	7558	10352.5	18162.5	18346.5	3601.5	5907	12522	6835	15196	15338.5	10125	36864	40274.5	36662	42709	41597.5	28070	27060.5	25029.5	16655	24494.5	23999.5	23137	21201.5	24088.5	19496	17585.5	17507	20854	17830	18571.5	29919.5	34405.5	11665	22480.5	25404	34649	44660	58482	75888	50248	24407	19730	17249	34697.5	26574.5	21207	24364	45965.5	24948.5	36208	25878	25113	10402	31163	17557	24195	38048	31100.5
