Protein	FN1	FN2	FN3	FN4	FN5	FN6	FN7	FN8	FN9	FN10	FN11	FN12	FN13	FN14	FN15	FN16	FN31	FN32	FN33	FN34	FN35	FN36	FN37	FN38	FT1	FT2	FT3	FT4	FT5	FT6	FT7	FT8	FT9	FT10	FT11	FT12	FT13	FT14	FT15	FT16	FT31	FT32	FT33	FT34	FT35	FT36	FT37	FT38	PN1	PN2	PN3	PN4	PN5	PN6	PN7	PN8	PN9	PN10	PN11	PN12	PN13	PN14	PN15	PN16	PN31	PN32	PN33	PN34	PN35	PN36	PN37	PN38	PT1	PT2	PT3	PT4	PT5	PT6	PT7	PT8	PT9	PT10	PT11	PT12	PT13	PT14	PT15	PT16	PT31	PT32	PT33	PT34	PT35	PT36	PT37	PT38
A0AV96	13476	9349	11264.5	19540	20031.5	28603.5	12040	6453.5	2991	1849	9020	8305.5	11111.5	8355	12472	9550.5	12788.5	6137	10118.5	2296.5	6723	10908.5	6295	13721.5	17613	10711	14328	18436	26865.5	29053	16444.5	10323.5	11648	8146	6432	4501.5	10379	11083.5	2664	6811.5	2584	3328	7179.5	13938.5	15716.5	12571.5	10149.5	18229.5	14711	13235.5	12114.5	12198	9836.5	23019	9590.5	3658	10224	2870	3449	5279.5	8730.5	6266	7217.5	12346.5	4418	17581	18922.5	8604	23015	14762	10891.5	7208.5	9255	9606	10640.5	9078	11992.5	20342	17517	12542	8665	3586.5	10312	2255	10777	3611.5	5918	1769.5	11869.5	11254.5	5443.5	9593	3380	7815	10492	7772
A0AVT1	8242	8966	8701.5	6614	6794	14686	8480.5	10165	10759.5	13010	7537.5	8748	12080.5	5766	14577	5429	8723	9681.5	5165	9459.5	8298	10352	5107.5	7616.5	10224	7874	11232	5480.5	12840	13212	9143.5	9697.5	6913	7471	7015.5	8941.5	7213	6757	14826.5	7412.5	24478	8119.5	10941	9788.5	11946.5	5491.5	16056.5	16809.5	12877	6379.5	10444	10694	7663	10939	7634.5	8848	5694	6347	8029	11659.5	4114.5	4631	9726.5	8755	8544.5	6018.5	6873.5	7120.5	9015.5	6196.5	4460.5	8013.5	9810.5	5226	8599.5	5488.5	8465.5	10896.5	10409	7730.5	7096.5	3356.5	7647	9301	6760	7041.5	7377	7621.5	9310.5	9922	8513	8378	8072.5	7025.5	4612	13558.5
A0FGR8	3323.5	4585	3908.5	5617	5980	3631.5	5579	3436.5	3542	4243	4216	4007.5	2892	5588	2725	4791.5	4117	6545.5	2214	3549	3485	4860.5	2820.5	2575.5	4020	4426	7421.5	4255.5	5947.5	8257	3425.5	3778	4227.5	3778.5	2931.5	6951.5	3727	6123.5	6413	4054	4517	2773.5	6146	3766	4954	4893.5	4297.5	5309	6535.5	5764.5	6455	3507.5	4841.5	3992	5260.5	3706.5	3691.5	4349.5	4158	3763	6477.5	4331.5	5533.5	5017	5653	5408.5	5038.5	5700	6148	7368.5	5898.5	4443	5425	6499	6173.5	2927	4806	5103	5827	4618.5	4626.5	2715.5	5417	6224	5289.5	5580.5	3308	4386.5	3770.5	5814.5	7410.5	5747	4205	3242.5	5228.5	8878.5
A0MZ66	75831	21698	48362	20151	21749.5	8192.5	60033.5	71859.5	18118.5	20466.5	11205	24448	38436.5	17722	30920	35058.5	10379.5	96607	52888	20942	38277.5	25308.5	108497.5	36247.5	21999.5	44552	7043	30058	12294.5	14131	34905	61229.5	4118	112380	42589	26621.5	28433.5	45556	12254.5	21917.5	12722	36738	42896	71645	42034.5	65815.5	64577.5	25497.5	13672	17602.5	15040.5	15846	16452	12215	21232.5	17586	15584.5	35020.5	43848.5	13226.5	29912	34353.5	25428.5	29636	57070.5	69502	65285	75169	64666.5	25730.5	70797.5	76964.5	15336	12153	10438	7818.5	9537	10644.5	15124	12225	20716	24479.5	26896.5	27243.5	13994.5	18241.5	22353	16137.5	5872	28065.5	28741	7546	33863	50346.5	37664	12246
A1A4V9	8596	8313	5316	11536.5	7530.5	6935.5	6439	4084.5	4964	6226	4261	4811.5	4891.5	6473.5	7785.5	10556.5	4897.5	6081	3967.5	5980.5	7801.5	8619	5213.5	6755	6078.5	4904	8365.5	6501.5	6087.5	6807	8045	4920.5	7382.5	4070.5	6983	6351	7385.5	5786.5	7256.5	10569	7301.5	8847.5	5707.5	6212	8083.5	6767.5	9032.5	6284	9551	6843	9503.5	9049.5	6871.5	7162	6719	3664	4559	3951	2557	3582.5	4668	9425	8120	11972.5	3241.5	5727	6564	2902	6263	7036	4479	5342	9897.5	7695	6412	5207.5	8646.5	7390.5	8211.5	5946	5420.5	4016.5	5618.5	5329.5	4492.5	4903.5	6541.5	16891.5	5064.5	8400	6280	8835	8021	7804	8979	7222.5
A3KMH1	6401	11295	7758	12152.5	10779	13738.5	6467.5	1721.5	2307.5	2178.5	760	1354	4440.5	13305.5	1220.5	3290.5	7077.5	4419.5	4010.5	4855.5	9464.5	3749	8353	3367	13610	7660	12472.5	9430	12980.5	11565.5	7681.5	7115.5	5313	1565.5	4930.5	1631	1530	11017	7903.5	11803.5	7458	5188	5970	3533	1656.5	4687.5	3632.5	11158.5	12869.5	10663	15114	11268	15900	10441	9235	5084	4092	5726	4695.5	7195.5	3295.5	1820	3041	8836	11025.5	4555.5	4680	10293.5	9173.5	5138.5	7352	6267.5	5577	4441	17504	14762	20167.5	18130	4460.5	5275.5	4225	6736.5	4830	4369.5	4254	3161	3809.5	6555	2518	5104	8012	3728	1254	8084.5	8187.5	3283.5
A4D1E1	68283.5	44420	51278.5	66019	50446.5	47946	34475	28401	62740	45121	54988	34047.5	65979	64938	42693.5	66724.5	68636.5	38553.5	37260.5	75833.5	73092	48287.5	65138.5	74137	56076	55612	42356	59811	43021	41753.5	38982	35940	35806.5	43581.5	49486.5	36162.5	52214.5	81406	42401	41705	26213.5	46059	58994.5	67804	51243	60203	61051	44997	27730.5	49624	44894.5	43977.5	46225.5	36542.5	43852	41060.5	49023	53896	54296.5	45027.5	47564.5	60794	44801	35470	51106	62248	64963	55603.5	53493	37993.5	54883	55815	37336	28923	40998	43703	52962.5	36049.5	30903.5	10273	30002.5	30961.5	51097.5	61701.5	42042	55089.5	33241	34439	26226	38921.5	43911.5	4236	38437	29696.5	38276.5	47231.5
A4D1E9	5311.5	6531	3186	7609	4581	12233.5	6101.5	3438.5	3086	4969	3824	4333.5	4442	9611.5	5524.5	5100	4969.5	2831.5	3356	5137	4253.5	6358	6073.5	4749.5	5524	3654	7407	5773.5	7556	14900	9750.5	2805	10643.5	2587	2450	12145	5705.5	7735.5	7914.5	10370.5	7735.5	3274	3028	8965	4602.5	8452.5	3579.5	3262.5	3007.5	1011.5	4809.5	3254	1746	3392.5	4009	2419	1472.5	2662.5	5876.5	8075	3845.5	3782.5	2315	1959	2692	2241.5	2143	5802	3732.5	1558	3347.5	3377	7151.5	3006	1808	1435	4156	5725.5	6344	3013.5	5675.5	2944.5	2322.5	2822.5	5380	3772.5	5189.5	2806	2664	3566.5	5016.5	5033	1610.5	3230.5	1992.5	6265.5
A5A3E0	41344.5	35100	36763.5	45445	24807	33856	24763	19785.5	33589.5	36763.5	26261.5	60832	34649.5	35895.5	34354	29755.5	42049.5	20071.5	28584.5	30613.5	38097.5	29559	27592.5	24801	33973	32978	33994.5	35071.5	33819	37580	26509.5	20876	28212.5	17983	27276	9157	33827.5	39293.5	24611.5	21342.5	26840	25383	33233.5	31360.5	32562	38844.5	31730.5	17332	27655.5	36362.5	32278.5	27097	34189.5	26810.5	28638.5	28320	21866	31853.5	39733.5	37477	22554	20614	25845	31809.5	42143	30580.5	21034	35515	31846.5	35697.5	64035.5	35724	27818	30385	30181.5	47336	37726.5	29521.5	24715.5	25838.5	17207.5	35908	26592.5	38690.5	21664	41249	23385	22403	21865.5	25797	25160	27532	21051	39194	34252.5	25591.5
A5D8V6	4780	6230	6578	5046.5	8382.5	6475	3464	4704.5	3947.5	4775	4490.5	4265.5	4375	3594.5	4847.5	4921.5	6002.5	4306	2733.5	3143	2821	2513	2987	2258	6888	2716	9217.5	5345.5	7065.5	9594	4234	4911	4120.5	3616.5	3067.5	6353.5	3589	4052.5	6825	3370.5	6864	6947	8380	2953.5	3854.5	4359.5	3042	4943	5278.5	4190.5	6056	6424.5	4372.5	6047.5	3474	3551	2836.5	4015.5	4486.5	3512	4192	2593.5	5158.5	5296	6776	5459	2687.5	4716	5378	5053	4374	2486	5231	3613	6887	5014.5	4780	6442	5076.5	5176	3164	2059.5	5381	4267.5	4273	4346.5	3456.5	6179	6590.5	3551	3723.5	5560	3329.5	3794	4906	4737
A5YKK6	4150	2831	5793.5	3443.5	3336	1646.5	2720	3706	5243.5	1618.5	2936	5864	4270.5	9743	5078	2721	3872.5	7142.5	5249	8123	7200	2228.5	3361	4563.5	3119.5	6534	3594.5	4769.5	5355.5	3695.5	2182.5	3227	4164	4802.5	2395.5	2285	5984	6340.5	2976.5	2013.5	7111.5	1609	3677	3416.5	5146	2116.5	3723.5	3668	1985	1891.5	4604	1116.5	18392	2833.5	1734	1343.5	2337.5	3546	7596.5	2586	3998	1898.5	2871.5	948.5	4359	1989	6503	3843	4629.5	2245	5626.5	2615	1322.5	2887	2815	2109.5	5731	1867.5	3376.5	1620	2064.5	2572	3516	2499.5	3334	1576	2913.5	1808.5	3384	1888.5	2907.5	3205	1115	5452	2008.5	2977
A6H8Y1	2037	2896	6732.5	2825	2532.5	3182.5	2572	3489.5	2390.5	4634.5	3679.5	2603	3077	4539.5	4796	6370	2271	2260	2642.5	2366	1466	2482.5	3289	2244.5	3393.5	2331	3383.5	4376.5	3873	3073.5	6023	1884.5	2133	2561	3324	4660	2662.5	13107.5	4400	4020.5	7881	3510.5	4934	2425	3208.5	2229	5987	5292.5	661	2669.5	2128.5	2147	1454.5	2591.5	1896.5	1337.5	5424	3622	3310	1890	2522	7493.5	2125.5	2561.5	2085.5	2391	2094.5	2891.5	2700.5	2241.5	2469.5	1828	3241.5	2674	2271	1233	8533	2026	3608.5	2757	1748.5	2158.5	3136.5	2562	2040	5391	2660	5543	4288.5	2651	2365.5	1755	3081	2984	1929	2843.5
A6NCJ1	38458	2972	1732.5	54783	1427.5	2680	1519.5	3501.5	2879	1788.5	2020	1413	2349.5	1797	3123.5	5356.5	8787.5	4416.5	1757	6278.5	3189	1378.5	1520	3110	2212.5	2811	2749.5	2907.5	2852.5	2465	2123	674	3409.5	2283	2797	2148	3434.5	1383.5	1882	3732.5	3788.5	2316	1627	3255	2993	2660.5	1526	1425.5	3136	2560.5	4731	5808	3657.5	3146	2587	2719	3265.5	3434	4184.5	3543	3462	4520	3348	3603.5	7981	6155	2459	8243.5	5948	1377.5	10520	4766.5	3748	2634	3981	4055.5	3092	2701.5	2662.5	1736.5	2869	3979.5	2390	3304.5	4548	8367	5060	6657	3623	5057.5	2629.5	2968	4801	4797.5	3817	4445
A6NHL2	19405	10054	17611	25452	21998	30909	12658	4304	8986.5	3936.5	4939.5	5435	5021	17059.5	6861.5	2122.5	5912.5	5242.5	6659	10456.5	14056	7056.5	12500	12215	23238	12562	25435	20806	27212	30731	13447	2789.5	4597	6667.5	6848	11929	4487.5	6734	10085.5	12044.5	11575.5	6004.5	7211	7670.5	13382	10258.5	8178.5	15382.5	36850	23190.5	35424	28015	34937.5	23344.5	21421.5	13415	14177.5	13679.5	12447.5	13406	11002.5	14426.5	7668.5	4190.5	14617	15148.5	11603	11751	18249.5	16855	13598.5	13639	28980.5	15243	44161.5	45815	52742	41477	14809	12568	10678.5	17245.5	10861.5	10804	10953.5	16246	12215	15172	10622.5	10374.5	13886.5	14291	5765.5	14300.5	20105.5	11061
A6NKZ8	612894	817898	379313	672126	670384	977396.5	557810	525714.5	715954.5	527360.5	654357.5	390825	736688	574207.5	666992	648614.5	734144	444774.5	344170	912352	589215.5	795846	398208	840709.5	657338	561849	643160	551029.5	920105	829173	826913	471876	550300.5	316753.5	422756.5	428110	600302.5	606634.5	751847	626796.5	1450180.5	675730	1078603.5	700107.5	379041.5	425504.5	692191.5	1121908	701534.5	559382.5	572798	527521	528849	744081.5	638798	614541.5	497606.5	504270	720644.5	889254.5	552399.5	583358.5	705662.5	772875.5	693618	624640.5	568967.5	612383.5	750500	629047	425974.5	796360	621872	725352	561864.5	367832	596048	543673	1102134.5	553367	444388	297249.5	615015	628954.5	561021	609229	539997	729670	1260677.5	728341.5	881409	936229	559619.5	593104.5	546899.5	1027224.5
A6NL28	40959	37945	23255	20460	33263.5	32494	25435	35284	29950	33517	32784	25446.5	34193	24997.5	31357	26262	30890.5	32596	18137.5	27862.5	32019.5	54915.5	13127	26279.5	22239	31606	26532.5	26356	28435.5	21275	27280	24595.5	49827.5	22665.5	35208.5	39180.5	46909.5	25320	37992.5	61898.5	18441	46552.5	19524.5	22161	28039.5	22444.5	20399	28393.5	15267	20670	19378	18883	16786.5	11469	16143	14835	18420	16691.5	14317	17633.5	6373.5	16944	13977.5	17679	10030	19953	12385.5	9890.5	20935.5	19527	11829.5	12430	13225.5	21626	15657	18301.5	21741.5	24144.5	6674.5	14796.5	6251	16620	14912.5	14151	7935	16722.5	18275.5	14261	15436.5	19143	17776.5	28463	18424.5	14457	13525	20653.5
A8MXV4	4515.5	5345	4897	7708.5	7459	10514.5	7274	8067	6662	9547	8477	3077	7570	2892.5	11242	3060	7842.5	7696	6150.5	7775	5824.5	8767	5841.5	5873	5656	6063	6328	6288.5	8030.5	6378.5	7225.5	5119	6261.5	3883.5	5321	6731.5	7122	3561	6813	2649	13432.5	7954	11123.5	5861	8942	4561.5	5248	11178	4508.5	2099.5	3627	4799	5248.5	4981.5	3955	4116.5	2443.5	3938.5	6011.5	8334	3933.5	3191	4964	3526	4255	5958.5	6990.5	4772.5	5666.5	3805	5274.5	5750.5	7986.5	6157	5263.5	2573	6845.5	7408.5	10522.5	5192	5130	4843.5	4549.5	3602.5	5406.5	4006	5620.5	4391	9053.5	10400	6237.5	6596	4292	4121.5	4316	7305
C9JLW8	40388	32862	37722.5	36367	31488.5	29613	43776.5	28390	31799	22725.5	20872	30666	28055	37466	26102.5	37345	26318.5	26503	30667	26919	32117	40659	41384	35015	37247	36584	30065.5	36588	38862.5	29631.5	31808	33739.5	22429	32828	23657.5	29976.5	33230.5	49814.5	25456.5	36842.5	17723.5	28507	30035.5	37664.5	29135.5	31226	38993	25332.5	63984	92684	84841.5	107510.5	86157	70479.5	77578	52005	46990.5	18680	31669	20357	18074	75295.5	57092	57332	30092.5	25667.5	28234.5	38841.5	23591.5	26816.5	23896.5	26398	75936.5	96975	83328.5	61722.5	52176.5	62295	39357	22683	77271	24256.5	34991	25829.5	38419	42918	49997	67501.5	22214.5	42720	30152	39746	52600	37441	78205.5	28715.5
O00151	18452	15119	15543	20807.5	3856.5	9309.5	22533.5	21986	17873	14004	7878.5	7441.5	22101.5	14216.5	8652	6742	4632.5	41100.5	30670	17342	27863.5	9834	44616.5	26799.5	7504.5	14662	7415	65527.5	8087.5	8781	16660	36062	4918	19639	6796	13933	21643	10835.5	11613	16708	10015	14714	16108.5	16587	19810.5	4345.5	13633	28133	18348.5	15718.5	11504	10105.5	24343.5	20653.5	11045	24488.5	25575	23163.5	19777.5	5415.5	29416.5	47677	39480.5	11669.5	22335	28870.5	19202.5	30844	28778.5	13173	12575.5	37983.5	17738	9607	16774	11312	15725.5	13268	21583.5	8706.5	17480.5	13273	28715	31172.5	9811	26488.5	18327.5	18632.5	9757.5	9935	23666.5	8390	21610	19117.5	16455.5	7548
O00154	52829.5	40629	32620	39562.5	43813	49547	27158	42408	40227	44293.5	32920	36476	42388	35600	47747	28445.5	50485.5	50836.5	30254	38665	31415	29520.5	49186	41667	59025.5	51178	45600	29145.5	44416	34480.5	36966.5	33484.5	30650	40053	40915.5	45805.5	28987.5	34891	46793.5	39169.5	36083	34851.5	46931	22373	31677	47882.5	45621	56415	43965.5	35869	32163	52697.5	32547	39844	30870.5	29043	27798.5	24276	27557	37637	34778	27080.5	38778.5	35318.5	38143	34474	33784.5	30983	42263	36883	32243.5	36497.5	37631	27674	23235.5	33003	33096	29648.5	42366.5	40450.5	25094	30554	38053	35379	29443	33148.5	31878	25814.5	40370	42045.5	42550	29773	29318.5	32343.5	30733.5	38535
O00159	10576	39510	62229	18499	99237.5	8411	95514.5	33408.5	19981	52238.5	44986.5	39756	83199	10596	9133.5	13200.5	40156	178026.5	11574.5	61640	8581	17878	32665.5	40142	49659.5	67750	8897	64204	44508.5	9291.5	8846	11025	26032.5	29406	35586.5	14756.5	79038.5	8702.5	72509	37434	5165	31694.5	14754.5	74996	29810.5	22944.5	25115	13196.5	9407	15204.5	10867.5	9417	10550	14949.5	13275	9580	8637.5	10116.5	10767.5	12073.5	9157.5	9864.5	8886	10906	9771.5	8041.5	7908.5	6864	9150	9981	3670.5	5042	13149.5	6875	8756	10267	12716.5	10191.5	9997.5	13432	6673	4969	8525	14379	8439	9962	6114.5	11311.5	9243.5	11352	11878	8565	8976	11796.5	10857.5	11286.5
O00161	17969.5	15828	20728.5	20501	18657.5	23723	16513.5	12258.5	20346.5	19121.5	11339.5	15697	19989.5	17140.5	23663	14975	16830.5	8522.5	15261	19129	16448	22118	12907.5	15784.5	16777.5	22958	17297	27202.5	27256.5	27494	17107	13249.5	12194	14979	9039	21383.5	17703.5	18899	17684	19078.5	22383.5	11459	14667.5	15895.5	19818.5	12197	14545.5	21269	19697	19634.5	14944	18757.5	22713	24236.5	21015	21460	10823	17450.5	28604.5	33391	18809	16612	23770.5	24007	25844	26893	13248	17007.5	19414.5	29194.5	20613	19749.5	23669.5	25857	21762.5	25438.5	30426	35291.5	24001.5	30816.5	12417.5	19293.5	21569.5	24837	21712	26155	22201.5	17568.5	22955	22772.5	25351	25214	20555.5	21189	16091	26463.5
O00165	21325.5	34803	21081	31534.5	26288.5	27200.5	22345	19701.5	22684	25394.5	22861.5	21401	25423	25651.5	21291.5	28600.5	15864	17961	23401	10862	25753	29158	26923.5	11034	22885.5	33355	28524.5	25737	11612.5	27999.5	23173.5	19599.5	23815	23363	19003.5	32398.5	16372.5	23460.5	24755.5	28444.5	10759.5	13874	17764.5	10052	5511.5	11601.5	15030	30534.5	27984	47086.5	31023	25171	23462.5	19746.5	29220	26059.5	59153.5	41454.5	27353	39736	18115.5	22860	21667.5	24597.5	35157.5	45459.5	32004.5	20216.5	35751.5	45214	27937	28176.5	19516.5	26825	41528	56269	55086.5	35933	15700	34869	16189	55188	33573.5	27890	20360.5	25824.5	17683	22890	25123	20290	24542.5	31531	21025	16865.5	24385.5	26984.5
O00170	16887	11333	20938	9881.5	19379	10076.5	10243.5	10368	16502.5	13832.5	11511	8550	13536.5	12254	13186	10138	12307.5	10817	9439.5	10540	9570.5	16181	11696.5	12024.5	11254.5	18220	10700	17290.5	15137.5	11706	10840.5	12326.5	6546	12761	8872.5	15365	12673	13993	10304.5	8457.5	13471.5	14835.5	9356	10853	14768	17531	11485.5	17383.5	10414	10545.5	12786	14026.5	9384.5	12739.5	11052	8657	7211.5	7829.5	6143	9404.5	12112.5	10052.5	11093.5	12455	7777.5	8512	11126.5	8969	8974.5	10194.5	12855	8975	11542	10410	12379.5	6132.5	9957.5	11977	12133.5	8515.5	10428.5	7255.5	10042	9004.5	9721.5	9279	10124.5	14999.5	12595	9974.5	10555.5	8981	8965.5	8221.5	10550	9909
O00186	8445	2632	6306	3853	5049.5	14729.5	3739	5624	4216	7567.5	7658	5625.5	3620.5	6723.5	4634	4780.5	5147.5	6649.5	3588.5	5781	4579	5873.5	4138.5	5107.5	7149.5	4705	7000.5	4435	4179.5	8281.5	4658	12639.5	4011.5	5711	4150	7521	6320	4990.5	5463.5	4923	4797	6005.5	9584	6507	3398	3321.5	5334.5	9726.5	4339	2280	2109	4634.5	5263	6875	4213	4014	3053	1892	5949.5	6527	4609.5	3571.5	4491	4452	5591	5366.5	4489.5	4015	4799	6020	2321	4239.5	4828	3132	3708	3990	3816.5	6063	5971	3620.5	5468	2733	4111.5	6534	4592	4352	5179	6258	5113.5	7296	8035	3913	3220	4800.5	5483.5	9402.5
O00194	12964.5	25870	24043	30155.5	35537	54260	25689	29902.5	33737	48214	25793.5	21887.5	30802.5	15626.5	48712	11398.5	23966	18443	8232.5	24048	31673	37696.5	16323	27387	20727.5	21701	29381.5	18360.5	47574.5	53092.5	17064.5	23861.5	12486.5	16862.5	16533.5	22750.5	20612.5	13092.5	55905	11896	50738.5	21935.5	26706.5	20990.5	35459.5	17560	23712	22188	11851	13088.5	8326	7224	8469	19567	13207.5	17129	13604.5	13135	20277	35798.5	8469.5	7417.5	22510.5	25003.5	19211.5	10112.5	10386.5	10352	17045	17197.5	12864.5	13463	10882.5	14199	14936.5	12966.5	19029	29492	21238.5	27178.5	7722	14278	14395	10934.5	11025	10856.5	15348	11581.5	48115.5	11360	25471.5	10483	23426	12726.5	7378	15231
O00203	28895.5	17370	14313.5	56339	19137.5	26623	13501.5	14466.5	21824	17133	12130	14067	17652.5	18762	18867.5	33610.5	12588	21111.5	6976.5	11227	15609.5	20196	13050.5	16707.5	22684.5	11069	23600.5	14594	21709	13275.5	15430.5	14220.5	16554.5	17417	15626	13413	21852.5	12723.5	23094	25787.5	22511.5	15205.5	34759.5	13513.5	18561.5	2589.5	13902.5	14951	17838.5	28157	28828	27496.5	27642	24434	17792.5	18434	29254.5	18613	29092.5	12396.5	17986	34933	20039.5	32757.5	15881.5	32637	35671.5	17336.5	22767.5	20552	28279.5	20504	22425.5	18358	36148.5	42666.5	25891	28281.5	14328.5	8957.5	14896	13204	24766	16429	19721	26058	28923.5	33190	10634	17717	20653	19134	15046.5	24747	20594	15010.5
O00204	43962	12483	19590	16103.5	9180	15873	16618	43869	17526.5	16351.5	11723	12367	20457	7775	22802.5	11188	14946	30647	10922.5	37496.5	11511	28817.5	63237	21748	16077	15310	26424	10797.5	9643.5	29242.5	21595.5	34699.5	15035	48030.5	5973.5	15674	23947.5	25498	13806.5	36486.5	9577	27823	25154	25585.5	13908.5	21306	14959	28456.5	7675	10435.5	8637.5	13677	17186.5	6765.5	8909.5	18383	19569	17354	14535	14199.5	10155	8396.5	12226	10530	9530.5	15270.5	7820	8793.5	8490	11632	8622	12069.5	9306	12851	3105.5	9463.5	25065.5	18415	14384	10399.5	17632	9584	16838	10808.5	7284.5	11185	8913	16239.5	16309.5	8865.5	19126	11495	13332	14948	7529.5	18456
O00217	5476.5	1756	4756.5	6385.5	6352.5	6461	2722	1011	2526	252.5	256	1218	708.5	1411	660.5	85.5	365	1570	694.5	516.5	52.5	22	295.5	459	8833.5	29	8046.5	1940.5	7413.5	14245	6041.5	540	1886	1531.5	985.5	732.5	1613.5	631.5	595.5	2.2	911.5	705	279.5	2.2	264.5	31	387	161	1566	327	3040	4166.5	6851.5	1082	2433.5	453	1513	2515	1208.5	1926	737.5	786	32	601.5	369.5	887	1380	670.5	790	490.5	222.5	1144	4915.5	2.2	4912	4283	4407	5483	4235	497	1194.5	3991.5	1570.5	921	648	2604.5	922	526.5	736	632	932	2.2	351.5	233	398	262
O00231	61755.5	46807	34113	40605.5	36087	57225	28465	50377.5	35283	57959	38379.5	32586.5	34962	30078	81353.5	43855.5	44311.5	61132	33500.5	41334.5	66160.5	57035.5	51956.5	32864	30946	47949	250939.5	21816.5	73219.5	42921	35470.5	90076	99063.5	51911	30348	51905	28299.5	38472.5	58891	51325	93453	36981.5	74800.5	28235	78363.5	55862.5	69616	94470	48802	37596	32066.5	40146.5	26219.5	40383	45885.5	94995.5	53176	53930	79137.5	128128.5	51491.5	52085.5	71996.5	80137	38153.5	47686.5	83586.5	41109.5	109310	66497	28501	31960.5	55972.5	49786	71324	28776	58268.5	77645	81929.5	53548	49864	51190.5	83147.5	49830.5	60721	48856	47392	62563.5	109355	60227	130998	93659	59760.5	67282	38838	98741.5
O00232	24597	13906	13836	20187.5	15296.5	11152.5	14323	13484	12884	7292	13357	10367	15977.5	20170	8179	32543.5	17462.5	11006	15892	22431.5	16876	11877	18435.5	27574.5	17964	12621	8935.5	20473.5	11796	9600	13775.5	11099	8585	11884	9621.5	5843.5	12529	28447.5	9322	16166	6275.5	13261	14554.5	13767	12401	11716	14215.5	10800.5	20353	18896	18599	17563	13564	18143.5	16922.5	12728.5	11564.5	15280	16542	8768.5	22287	33626.5	19019.5	17458	13169.5	21661.5	22766	24715.5	14999.5	10298.5	11091	20051	17639	14265	13050	11100	9829.5	11449	14191	7863	13291	14854.5	17688	22367.5	17224	24079	16228	17447	6046	14204.5	11409.5	6918	12059.5	17402.5	7193	10955
O00233	7096.5	7784	6838	7488.5	4618.5	15416	7085.5	7074.5	4735	4387	8708	6441	9822.5	5650	4149	9232	11843	5872	4607.5	4316	9264	9793.5	4392	10748.5	9497.5	3561	11700.5	11700	8492	13614	3850.5	10763	11753.5	2538.5	7692.5	3329	3288.5	3656.5	4131	12398	9643.5	7941	8340.5	4650.5	1684.5	12757.5	3070.5	9156	20732	13710	10053.5	21288.5	61118.5	22422	13945.5	10584.5	13425.5	10728.5	8656.5	8575	25420.5	19119.5	8129.5	11344.5	4965	14715.5	10212	19135.5	12551	13418.5	12514.5	13487	31173	13162	9730	9681.5	36322	9306.5	8577.5	5729	11409.5	8224	5989.5	4235	9735.5	11123	10476.5	14647.5	6902.5	7643	7942	15313	22814.5	16677.5	17102.5	7027
O00244	7490	10203	6003	4964	7684.5	5975	8104	11650.5	8617	10892	7480.5	7688.5	11199.5	5709.5	11634	10017	9371	3616.5	2212.5	6264.5	7985.5	7817.5	4005.5	7491	6545	8217	5888.5	7921	7849	8828	11213	4498.5	7870.5	6982.5	12587.5	8784.5	11163.5	6058	8935	13064	13232	12077	9523	6165	9359	9632	8654	13619.5	5855.5	3818	3379.5	2419	1474.5	4051	4932.5	3350.5	3979	5720.5	3184.5	6485	5097.5	3429.5	5800.5	3487	6149	3418	5860	3735	4381	4457.5	2073	4038	3083	4231	2307.5	3577	3357.5	2768	6539	4795.5	4796	7014	2005	4074.5	3976.5	6473	4037.5	5403	6071	4096.5	5560.5	2126	4280.5	4426.5	3628.5	4125
O00264	42810	47404	42575	41881	46852	67885	61283.5	31810.5	45321.5	41953	48166	65817.5	55721.5	44491.5	52467	43868	52775.5	26735	34962.5	56213	44966	46990	50951.5	58746.5	53735.5	59829	32234.5	66731	41064.5	41393.5	36296	22489.5	25444	36694	34872	29498	39216	49306	44074.5	31111	33594.5	35697	42584	47635	45705.5	37387	40315	29234.5	45572	61395.5	34560.5	39377	35682.5	59143.5	39545.5	41021	36796	36300.5	44509	47544.5	49659	44449	52608.5	54784.5	54834	47113.5	39156.5	43804	56756.5	51747	44822.5	52845	34447.5	33232	37006.5	39458.5	30818.5	32933	32796.5	33754.5	20243.5	31726.5	43484.5	47883.5	31505.5	52958	28027	40798	31217.5	33781	40619	36093	42303	46490.5	33635.5	37715
O00273	3350.5	2524	2079	2146	4081	4610	1973	1078	2746.5	2073.5	1802	1823.5	1789.5	1511	2406.5	2015	2256.5	1445	2835.5	3090.5	2646.5	2742.5	1750	2037	3513.5	3662	3719	2627	5118	4267	4121.5	2449	2045.5	1472.5	3000.5	2472.5	2326.5	2085	1810	1609	1377.5	2043	2486.5	2203.5	2027.5	4088	3325	2388	2289	1163.5	1603.5	1307.5	1805.5	3411.5	1740.5	2702	1654.5	2092.5	1483.5	2996	2376.5	892.5	2980	1098.5	3309.5	3605.5	1479	3234.5	2842.5	3174	1836.5	2405	2375.5	2049	2074	1407	1751.5	3589.5	4207.5	3787.5	2620	2010	2545	3017.5	3014.5	1695	1966	1377.5	2900.5	3252	3360	1780	1655	2394	1124	2474
