Protein	PCV1	PCV2	PCV3	PCV4	PCV5	PCV6	PCV7	PCV8	PCV9	PCV10	PCV11	PCV12	PCV13	PCV14	PCV15	PCV16	PCV17	PCV18	PCV19	PCV20	PCV21	PCV22	PCV23	PCV24	PCV25	PCV26	PCV27	PCV28	PCV29	PCV30	PCV31	PCV32	PCV33	PCV34	PCV35	PCV36	PCV37	PCV38	PCV39	PCV40	PCV41	PCV42	PCV43	PCV44	PCV45	PCV46	PCV47	PCV48	PCV49	PCV50	PCV51	PCV52	PCV53	PCV54	PCV55	PCV56	PCV57	PCV58	PCV59	PCV60
Q9H074	359245.2112	336378.5584	426858.472	347906.2556	286329.295	359706.8523	363977.3737	347099.1554	317384.8064	349776.1532	397808.2735	322717.7739	395304.2436	621952.8405	382534.7638	360312.2752	426166.8585	327162.096	253926.0695	267712.864	305203.5091	258317.4637	237461.4006	284105.7752	241526.7428	352958.0594	310798.3221	247749.7148	227648.0643	244109.7047	313292.0783	258755.6795	486934.1757	243748.7886	325748.4933	310992.7286	238011.833	272650.1376	313981.9903	252632.609	155589.5808	246023.7719	236180.952	428743.0346	375162.0475	393310.9617	460757.816	377281.4613	252021.4519	258305.2956	306862.3994	316304.0846	326881.5405	288618.6019	278120.9138	347826.1789	339015.9336	259589.8118	300149.954	389815.1427
Q9H093	230150.5365	246426.7905	244099.7566	244855.9496	247190.5675	294024.125	257249.906	238322.1482	193350.0867	255333.8943	238402.8853	228637.432	198732.3419	288771.4177	271495.2894	233929.5279	241879.7408	217157.7149	215629.3957	243535.0309	235524.0892	204559.0874	170181.7134	231562.0392	201978.302	185424.6068	297263.4829	168065.0295	177065.68	182699.5082	250741.7023	235701.5231	207041.4574	239499.9675	228329.1449	240037.4263	207321.141	254750.253	258962.5988	184863.4453	146071.2019	228519.4313	257663.4605	254542.7423	274934.3169	273074.6631	261151.6902	232741.8412	198507.08	227537.0408	228018.8896	207849.1806	239945.9872	211358.4178	232513.1231	265375.7748	213981.1931	187187.8736	211348.1454	268658.4012
Q9H0A0	201498.7218	325346.9166	287595.5124	219254.6147	194490.7661	299970.1508	245970.7635	240197.317	240487.0861	238752.6727	228665.7635	262089.8268	233450.1154	407863.4692	291721.5321	173513.6787	226516.0531	208805.2085	297177.5773	402868.4344	295146.3107	280554.3315	234206.4926	335944.2811	283631.28	230338.9837	412173.6647	258125.5172	320511.3313	244100.6693	194534.3468	318875.7561	306240.6919	199676.016	323910.1826	301664.6375	202270.5614	269355.0205	317388.6325	300089.488	148991.2206	373572.1807	269260.0052	276514.0175	218652.2054	250780.0938	222507.6456	242274.8799	303178.7214	402286.4952	308540.9114	311785.6325	311013.9942	342157.6582	351318.1044	313152.3968	327247.9956	263185.2771	369289.9829	349653.1548
Q9H0B6	67870.38705	111646.3393	87439.33551	70373.07936	69698.44354	87034.60195	77160.55506	78186.71933	55039.6562	50336.06609	68885.28142	58810.36935	74367.23673	114632.5743	82140.55893	66652.96341	62950.33771	72576.6163	112078.1672	94947.1415	131757.9213	103918.0321	79821.69247	78362.72699	91424.52835	84584.93503	110902.9644	88304.79408	78498.60405	64607.56758	41096.82118	53231.31814	104293.2983	73029.84366	75781.95751	75155.86822	50068.09871	67694.00542	64003.56476	50699.61381	29646.08872	45983.22476	108529.7661	115895.3672	92772.37264	85418.67206	92004.93593	77063.05535	102475.2209	91833.62862	157287.1173	151846.6998	115765.8554	100182.3916	130119.4198	123984.964	121146.0953	120823.2791	112752.7233	105132.9326
Q9H0D6	326644.5868	314633.5327	259561.4983	200910.2828	183994.9535	224026.2226	314019.7612	371034.9223	301228.2857	285266.2845	340341.7293	249208.9468	325076.4906	418545.631	366604.8491	254934.0958	287052.9936	321346.0129	194208.1688	319582.2316	202680.7372	161480.7993	145746.6823	207210.7318	240967.2866	207394.3247	366366.7199	213970.963	214647.6883	156065.8356	306944.1662	330669.3837	297709.1339	197065.3763	259923.8245	180830.6701	223992.9	382116.3351	295983.6283	236577.3387	138585.8991	232823.291	357924.7921	342170.4796	398322.4812	305727.8639	346360.2502	389482.2918	206165.8458	382422.1149	227411.4722	188755.2063	161759.9829	225904.9531	293686.4091	253662.641	336231.0682	255168.2008	258568.5373	263204.1772
Q9H0E2	90728.20725	65982.41946	118925.9658	157424.0258	146065.4434	221809.6748	129521.3446	144240.9384	88191.34262	141433.1146	160040.6814	125547.8593	106593.7504	157120.349	114162.2428	105541.8398	95169.60657	83813.0329	135022.3229	91801.60125	167993.4144	144752.6342	119840.0739	142062.7857	114931.6314	131012.9175	150223.7247	119000.6737	132288.1817	103130.5448	67164.22529	75017.00505	129263.6743	157810.8294	157950.6608	158944.3551	80022.77157	96611.5955	140160.6515	112727.7875	69447.96706	82918.54206	77049.50702	126003.26	119576.1235	98696.40957	104792.8797	69984.1566	127344.0416	115172.9455	161626.7974	166773.8993	142748.0135	141384.4832	123636.9168	166579.815	127228.1716	121548.2216	124576.3641	157524.787
Q9H0E3	380553.0439	425864.4405	409366.7765	376377.297	375834.332	442747.7409	495345.8589	422765.7485	454578.1456	496732.7751	474083.2864	514077.3604	509915.2351	420648.3728	536128.6849	330381.0803	368250.8715	470838.4357	341248.7422	516393.7443	409276.8819	364047.5277	250408.2504	382085.2135	335805.9561	337030.3155	667604.1452	389214.5555	464804.8139	327980.2124	338777.351	455522.7192	586069.6261	419728.4183	428407.3725	338646.8456	403636.4991	478575.173	504806.1017	392541.1453	228039.8155	454134.1763	468484.5147	351796.6856	448971.729	426388.8738	422772.2436	385052.0161	357979.0097	458013.4617	362908.1437	307155.0432	358914.8538	282375.064	511268.0353	504507.4048	525555.7327	437481.4578	505085.358	344613.9104
Q9H0N5	146666.1759	255884.4587	120561.1283	167144.2978	98263.24269	168065.7849	288522.25	253115.3125	177886.5944	188342.2984	214120.7224	189645.172	166774.9962	200924.9687	198175.8049	122999.1985	177827.9952	205901.4809	171214.5056	178108.5192	166047.6076	172178.1076	141300.0109	189736.8496	198136.6634	167815.302	164445.5527	180410.2558	206508.531	154055.5289	124312.2035	140566.2829	143168.1169	145442.1117	169333.8393	160300.5487	198155.5241	214703.5973	285113.4448	141440.1942	102457.6628	168049.7298	251887.0045	176651.6571	192980.2895	135194.9846	163739.3869	187635.8838	143352.9201	167066.0302	166176.5216	163576.5769	168766.3208	189567.7313	211626.1686	217748.5102	237239.32	201134.3149	231435.8861	204301.1466
Q9H0P0	446345.9451	362374.0574	360027.8327	392854.9351	349841.5946	562870.7071	452862.717	469336.6534	375386.6649	489781.7145	542353.2503	395844.673	351024.1866	489597.4505	515105.9603	372726.2787	416863.5144	355669.3319	444258.614	370354.2471	257420.6462	410105.4273	373859.8332	377220.2151	463266.9111	445235.1732	500043.5526	357218.5815	434328.2621	314425.6771	416317.6525	365899.3889	361041.679	369990.4121	340815.5214	390419.1671	396536.898	391276.1744	374326.691	436986.5491	518906.3543	424598.9664	384652.963	400933.4364	345816.4518	411291.5358	382203.8464	294618.7392	410141.6056	358107.2557	393515.4512	385728.2969	340293.9486	466935.1106	321821.6974	341868.7161	254135.8903	396289.0526	407253.077	468622.7888
Q9H0U4	137503.7087	169820.8481	184714.2655	164687.8305	138375.4373	205522.9896	164516.3316	153126.2488	147282.3967	160419.1432	177339.5888	141874.497	157776.6808	215008.7546	180753.7721	125968.9626	135299.4573	117860.2663	186717.4682	151210.8693	199239.9375	160767.0049	131144.9581	169584.8692	154718.7088	167265.7669	196627.3536	146377.7245	149512.556	118148.4674	139253.2723	141742.5465	195360.6194	153714.7358	191331.5387	190000.5688	147964.6579	127789.3576	150984.9272	113749.7165	68878.61675	98861.13376	137508.848	189271.922	132109.5137	156803.2521	139178.8299	141051.3792	154324.7525	104083.489	182726.3218	187158.6445	167753.2513	147298.8083	167528.4956	157885.7855	181792.7598	129536.3265	161935.351	177892.3174
Q9H0W9	109539.5466	120638.8465	142062.7823	118791.0101	69811.6141	133429.8359	121416.3468	128057.8633	99105.99414	123958.4527	150376.6179	143653.1811	132420.8569	150903.4193	136232.3122	117158.2423	130587.1642	82119.58823	169328.2163	154481.8353	176501.4019	151970.0855	115960.1653	136983.6227	102487.339	123419.0158	168148.7067	125429.0035	114754.7513	122330.7129	137590.6438	141524.6516	132775.5737	84156.73538	119399.2271	148338.1585	100262.0895	111609.6598	134534.3592	95142.70182	62018.63501	85283.77699	104561.0467	136364.8625	84900.41693	152312.008	167282.543	102497.7065	151004.6874	140343.6849	167117.6343	165234.9133	147684.1464	117076.6892	152059.3285	119408.7763	117784.7895	139338.9353	123466.8005	155339.3697
Q9H190	187593.4433	190578.395	182819.3271	163475.0146	150162.7652	242973.5182	202672.6821	261383.9691	164458.1738	240960.5125	250449.3003	184692.2156	175692.5857	318669.8239	227134.7987	221494.0092	275210.3695	240712.6541	204390.3462	299704.6028	241496.1836	186287.8715	170111.5951	213857.7082	173708.9903	169172.8902	275901.3517	140999.9365	199980.3522	137311.6467	216876.69	292557.8002	232824.9233	149894.0652	194848.8891	178613.9085	153321.081	204323.4607	214150.9532	167951.2414	99456.43571	151587.3319	161091.2671	319908.0526	254460.1371	270291.2073	265343.5429	249539.3679	187808.433	215436.1191	233966.7102	191647.8606	191401.3446	164692.4575	168051.5648	225028.737	266239.2292	196174.9935	202899.521	188949.7555
