Protein	PCV1	PCV2	PCV3	PCV4	PCV5	PCV6	PCV7	PCV8	PCV9	PCV10	PCV11	PCV12	PCV13	PCV14	PCV15	PCV16	PCV17	PCV18	PCV19	PCV20	PCV21	PCV22	PCV23	PCV24	PCV25	PCV26	PCV27	PCV28	PCV29	PCV30	PCV31	PCV32	PCV33	PCV34	PCV35	PCV36	PCV37	PCV38	PCV39	PCV40	PCV41	PCV42	PCV43	PCV44	PCV45	PCV46	PCV47	PCV48	PCV49	PCV50	PCV51	PCV52	PCV53	PCV54	PCV55	PCV56	PCV57	PCV58	PCV59	PCV60
A0AV96	67247.97496	42856.62887	73812.41942	121835.2822	73179.89458	106912.4599	61443.51719	69663.40252	38986.3158	61714.85168	73290.58472	89333.14064	49737.75838	118240.0385	59516.77035	61110.73594	96378.79421	63814.39607	143081.009	80828.68018	151694.7361	88926.23126	96151.84737	80664.39372	84501.48369	113224.4413	148373.1139	73898.52847	97980.13256	82540.77493	42271.15941	42267.76665	82111.12524	68215.74163	57313.96225	73130.20394	43622.48497	39754.3211	42632.88179	54367.67223	20055.74814	56169.47606	61147.25416	69498.93735	51446.88893	72213.673	66741.12668	56711.7143	82554.85489	102044.0286	121566.5766	96453.32197	103798.8895	91877.02961	71563.62739	109728.1061	76363.5529	77775.82799	104283.1899	107630.7013
A0AVT1	213420.8204	224444.7672	299610.2122	340090.3394	214892.8163	299845.8337	296373.7467	371133.1277	237901.9877	237562.5552	277517.0655	326006.5053	330147.7897	350136.559	362148.9491	220995.0615	234382.2939	252431.2506	259751.406	368349.8424	300091.4216	231925.6744	247683.2893	331130.0274	297054.2905	273355.838	405563.5214	240190.4289	323947.091	237421.222	209154.9624	263517.0642	272346.5277	310162.4981	282669.7057	265476.6771	239802.487	260152.0093	261868.3262	209532.7999	134495.5683	233409.4166	332460.1261	282758.6181	313846.0522	233746.5892	257048.8795	216016.021	313743.084	383459.5948	363580.2123	301185.0231	353142.5388	295619.9899	317495.3903	328861.5414	344904.8507	322359.4374	336923.1242	384316.6246
A0FGR8	477253.3979	453148.4094	484683.9251	880130.8816	527495.2243	769568.466	807728.344	731538.3133	547632.9998	372582.586	598739.0126	754900.1559	446289.1045	784670.3258	676702.9419	630782.2598	627649.4377	482305.7566	840650.6911	831669.9677	763111.6514	592888.8542	809962.3021	721697.3848	575246.3204	602300.686	815454.1559	608985.3329	523887.02	650887.7763	430257.8512	403821.3889	487713.6357	820723.1159	622232.4746	588290.9113	671732.6044	685629.1019	518398.0657	275931.0894	287260.3746	491708.5649	388004.073	725713.9133	691659.7804	623697.382	705588.0051	510238.1007	775711.9281	749711.3891	646040.2303	621275.6511	940319.4388	648966.3815	618200.156	706657.9722	717458.1607	621316.1673	604127.2309	896544.254
A0MZ66	103452.9714	91098.4568	124304.7392	95118.14534	91987.45607	152464.8688	116774.0842	103112.0366	100700.5062	125844.8134	155219.1491	152739.4721	97071.77463	162303.9751	95443.2418	77237.94158	101018.4321	65455.57451	109293.4134	101372.9593	180443.3777	127433.8496	74882.84198	141631.1228	105312.2916	131082.084	160551.8774	72144.90706	122961.9898	104399.9712	91928.28358	95901.65216	141593.1663	111625.0836	120312.779	110014.9197	86918.42818	111469.4362	143877.2395	113938.3849	71971.60308	113078.3082	119364.1376	139865.3483	129888.6175	79126.09515	107252.2486	108413.331	139880.696	144045.2136	196932.7779	166332.0472	143554.2442	120450.0768	152161.8071	184329.3582	161561.9946	152744.0802	161945.2099	162864.7221
A1A5D9	474973.5916	782479.9314	836542.6542	628560.188	572749.3995	383391.0333	771083.4924	912497.7612	697247.0092	690260.4444	755280.4788	669460.6496	886000.1915	430916.7946	137565.7353	285448.6564	443726.4871	615886.0428	437719.6723	797851.6252	446424.0405	372264.0443	386096.384	570140.4042	600496.0805	533021.8111	798067.8983	544792.0981	565029.9813	447629.9208	410035.624	765995.0459	645281.7951	589922.1813	500339.0592	540876.8057	695381.3209	802166.8452	673699.3391	599748.1665	415175.9635	622053.0995	911538.1144	368378.8419	717995.3541	350227.9999	460927.0039	650423.635	373983.1479	882465.002	495514.9214	403068.9432	468299.3971	546424.1866	673773.8445	574764.229	723289.4105	625273.4657	661543.3849	602856.1075
A1L0T0	249150.5396	197463.5628	221992.4884	377319.1525	275105.9659	406612.0597	277459.5398	326651.3657	221428.9707	229402.3284	314246.7553	284638.6128	207994.2461	333879.2053	345930.4734	232775.9514	247733.8931	199346.1886	329106.6207	303879.6938	413859.4689	310289.0804	298898.3431	284972.0697	261484.7441	301496.741	345328.2609	272856.8828	302600.077	282527.3178	228081.7852	218246.8718	269135.1063	366058.7885	371407.7184	403612.9875	287184.331	229824.8557	236224.0438	233170.7641	145955.9071	237564.9559	247664.1991	282603.193	276655.8009	259963.6634	305791.1934	222804.3593	332846.2026	330715.9112	418647.0438	396917.0255	402615.8997	326064.695	332415.3995	395130.146	299910.007	349951.945	293604.0776	375649.7889
A2RUS2	440644.8071	503981.8551	309479.2925	425452.9187	421306.6751	490055.6284	539173.3235	628245.5962	435172.1718	542901.7865	346498.0889	459052.0917	569872.892	673619.3107	653672.1597	595775.8359	551030.3226	430033.6108	411002.8322	419270.9236	570340.4069	402499.483	285538.6423	464614.1505	340273.4249	408721.9784	536455.3094	300292.4391	422739.0684	286304.5854	675887.3462	322047.8924	499969.6254	513833.8009	498896.1306	497203.461	398857.7105	458010.2962	337592.9655	486077.1418	194782.9664	324919.6545	314800.6534	549529.6852	634691.0815	574543.317	523735.9952	534809.6101	383635.0236	338873.9368	409729.0172	530755.7823	400159.2854	393796.7066	459756.1851	429170.0354	416257.1624	426886.9443	368976.9123	408750.2783
A3KMH1	250188.6112	197491.2592	154198.1727	254082.736	206956.2194	265640.2718	123775.1672	193967.955	132093.5987	229941.9763	238915.7904	190723.6814	173332.5804	252422.0656	285722.1825	187350.7528	181763.8419	144482.2038	414077.9749	195533.9151	248894.6978	316063.8205	191417.1069	227297.5312	344421.2977	222853.3932	247131.5981	160539.0701	248952.1013	184748.5832	201890.7686	160281.4536	296850.9761	237155.751	272918.2227	263317.631	178980.8094	134877.347	154377.0993	215089.3154	132307.4555	134299.0181	127259.0237	170673.1196	175673.4898	178030.4649	164187.843	139444.1015	302367.5699	212409.4095	254894.3164	344373.0627	305048.3135	237494.8539	198436.1411	349558.9362	185668.4657	188236.2694	348468.0793	298932.7664
A5A3E0	385755.8334	400798.1352	912369.6379	1027229.632	399821.2024	905901.7178	674955.0645	1036313.371	673646.4795	693500.3652	885445.6555	709446.964	601791.3458	779674.287	912675.5855	700385.2532	958556.6699	594747.8982	1038412.004	1316449.552	750514.4291	1129324.55	722462.4359	1169757.953	652435.7154	774977.0911	896623.3116	668779.4516	939012.5413	438632.7791	280270.2388	871930.0491	798428.2669	500591.1143	514822.8221	757163.8399	625754.2507	629598.34	680098.4444	497311.3188	144053.9565	351005.0256	537307.7571	750395.2651	521106.4657	378880.9408	376523.3123	423390.5723	613697.7247	677596.5109	669922.2188	523268.9213	518635.8982	538699.3908	636141.6488	590733.7294	642209.122	554599.8854	775947.0947	708440.911
A5YKK6	568694.8679	1050837.53	1178618.208	520606.0229	455363.7772	575316.6033	1067136.803	1074651.92	923669.272	837772.8021	868571.6712	726065.9229	1135895.727	685758.5427	850444.5655	501171.8537	698995.5325	689277.1106	600670.7608	1233475.654	668208.1368	538582.0488	534354.3569	809703.4714	857618.5704	673759.4332	1143138.204	766537.2504	848332.4967	613155.3906	562463.1925	1318186.87	1260906.653	463813.3554	480283.2399	554141.1805	918549.6029	898092.9796	972000.2661	678963.0099	413824.8886	615439.0168	1225354.606	566766.1689	835020.9219	485285.295	675362.9525	713126.0337	490091.9297	1239259.891	587002.3228	513222.8656	624648.3642	740481.6314	955814.564	798979.6235	1014448.595	776810.512	831209.9413	865072.3613
A6ND36	446551.9855	366901.4646	441233.0348	440152.0807	374661.3535	361495.8718	380094.6362	439408.4387	347893.0548	493831.6981	492115.6756	456849.1265	351125.2406	650038.279	493739.9861	505925.1422	589821.4363	301820.2947	343578.731	385544.6595	376257.0236	357933.6796	280154.9055	412067.2439	424741.9122	373923.628	578950.357	351734.6981	368706.3144	335478.8709	380840.3498	204171.8726	310299.3517	461728.8577	448270.4021	454391.9631	391445.4854	502837.0906	487668.5345	411307.3648	204865.8654	432698.063	372891.5977	557142.9009	505552.1158	480241.6885	674229.2405	402877.9744	411690.7516	468538.3005	478898.9068	476034.6259	436575.8303	521075.529	544084.8772	504161.0157	560931.3036	479850.9761	535582.237	545118.1789
A6NDG6	136269.7166	258588.2056	141482.6803	162966.0112	110601.2015	178214.5101	158866.6879	185024.2605	132651.4883	144945.1265	155734.2334	126606.8013	153487.4516	123155.5861	148859.3377	86691.06475	90897.45637	115052.0195	119319.9622	177547.1806	120058.61	94165.19733	77991.15054	140792.4174	128896.9741	115531.5138	177597.6241	107623.1451	202303.1809	85956.89836	152841.8097	141665.8063	140877.1138	106573.9914	135018.1183	114648.9155	109311.3558	193204.0021	128118.377	136102.6172	58514.40084	101357.5948	173009.8794	107943.5023	138806.4681	101864.3763	84752.02186	131952.283	118065.2953	174227.0979	131121.3327	85691.78158	93200.39605	124516.3784	122786.6105	135765.6027	202667.1104	243170.0285	207227.4303	209000.8647
A6NHR9	249395.3286	231204.5815	208157.4089	384821.1419	262952.1752	385985.1893	320359.2433	312726.589	253505.3164	279651.5909	340051.1781	335321.036	229154.6295	401375.2889	331717.8959	241694.2789	292124.3061	277259.9094	372486.022	281886.451	365281.4411	324110.6297	286808.5245	342625.2806	292015.2486	329209.5379	412457.2993	311150.263	307114.2702	295611.1682	253086.2328	242340.5271	278352.9566	378146.5678	306555.5589	305376.4156	288679.6236	250715.1637	272180.8553	237639.0881	94065.8938	242338.3549	225648.0193	311441.8097	300995.3681	223653.7098	237077.4055	207086.1868	265821.4409	368593.3852	276409.8221	340555.4818	372997.1443	307694.5428	336562.4945	388474.2194	341856.0445	310072.1752	323920.8269	417577.3291
A7KAX9	123827.5413	180118.9169	289021.3491	247443.6532	208643.8176	338498.2691	184656.8615	208579.2741	134262.12	187335.9095	205793.134	183903.2032	171723.2514	273547.8822	221454.4506	177171.7586	158937.5926	167534.3852	297591.3937	216142.9983	309671.6158	286962.3895	199841.2267	229542.7769	206354.2012	247793.087	357548.933	222717.0354	236620.8319	156916.3652	108635.9218	167133.3405	218768.9178	230120.893	243035.0401	256838.0966	167979.1768	111566.9059	158436.6945	167772.5928	64099.72623	136284.9308	168323.1489	206636.4829	170325.2351	140491.1799	141024.1555	141984.3941	252362.1038	216159.1447	301022.103	313239.8282	253528.7423	219644.6829	234280.0465	282599.0081	232909.2448	260027.8084	273927.9795	306293.7
A8K7I4	1480477.688	2499611.176	2028437.697	1893742.667	1748751.351	1746694.23	2352370.625	2833004.029	1976116.742	2031430.047	2010588.005	2411174.631	2952268.355	1617041.163	2563896.847	1193976.527	1576209.078	2294996.446	1354185.958	2816180.352	1429228.578	1303129.536	1125362.133	1625710.484	2043464.63	1734171.798	2408956.54	1724612.038	1970410.111	1308452.88	1286227.636	2322416.207	2166657.694	1706255.009	1816424.004	1521600.183	1812768.846	2240448.12	1779594.177	1642698.704	1058729.35	1741090.234	2033846.873	1428001.161	2326395.345	1255308.292	1628980.845	2209249.547	1210282.575	2552247.745	1404778.062	1309737.315	1350749.163	1462472.259	2112977.702	1830859.437	2247001.012	1953139.478	2129131.169	2026185.02
A8MXV4	357505.9572	681560.8961	654375.7605	478665.934	414063.676	512853.3131	528705.4829	638793.6037	455884.0293	518604.6097	566623.1217	493042.9568	527072.0897	500733.1173	587313.6985	347121.8944	457208.63	537083.96	425955.4945	583118.0179	451376.0378	395723.8317	341514.8239	477427.9431	463416.6088	447213.8178	658190.5013	418132.4494	445584.2032	332850.1685	354403.6371	582741.6556	586431.513	434521.9373	510259.1759	445259.6692	451088.3395	529770.842	534536.0667	397685.4959	247756.8628	398044.6518	623027.3905	434517.8898	588003.2494	359371.3926	485845.1375	484075.8618	384212.5309	661628.2497	469646.6278	411341.0856	422628.8212	429004.5263	491298.8237	522078.9384	572604.2675	466853.4925	541805.3686	538653.0288
B0I1T2	150610.1377	154261.142	110647.7865	313205.4592	229595.611	188715.9617	179420.6914	422754.3782	178987.7759	173540.4579	189898.5991	255034.5086	472377.3998	158638.747	322055.4563	193465.2773	144415.4099	234211.7858	166452.2486	107675.2418	152174.1015	114643.4182	120360.6908	140869.9727	90207.68557	156843.489	146072.9679	181035.3411	149946.6515	77962.46202	136854.5337	109125.2395	124754.8266	224641.9577	262229.2714	126977.6633	154075.5739	234520.8254	157387.2342	190223.2364	63681.21382	136602.1792	346407.4048	148072.0569	269165.9187	127353.0077	142601.5675	166186.0413	139249.9964	203736.7584	126721.9846	141985.5661	132531.5063	92003.46007	114790.1301	181784.3932	136823.367	92655.72949	141885.4387	117022.5439
B2RTY4	531366.9921	432231.9463	524839.2202	768667.1674	400735.7117	598846.7177	755431.2468	639864.8368	420111.3389	386978.231	561560.9678	562741.7031	427946.4451	772896.5609	683646.7518	572068.201	625664.3521	416875.9481	647469.6754	619312.0178	565655.4315	301933.3664	617051.8518	636613.64	484122.0247	550971.4781	689545.1587	323631.3585	491212.6366	456984.5819	368392.2544	420537.1543	614927.1519	880788.3944	718422.2445	654057.2508	643585.5736	654756.8107	496540.8179	514931.0672	277420.025	538886.9917	491242.184	836372.7614	825625.5667	824375.3127	835638.283	445606.5222	777638.976	855351.2375	691185.5178	644148.8897	929750.1558	669140.8036	513704.9543	765226.417	538251.7059	694282.6392	577536.4482	1022359.622
K7EJ46	33919.91702	28393.0137	78405.80388	51256.89259	51520.75232	90796.39534	43760.97611	123202.3223	35971.12986	44409.29603	77610.37106	35799.67164	19678.27196	84650.35589	50375.73401	53450.44173	37252.22138	63515.07529	160460.4424	167243.5601	209989.8201	80327.16126	154272.9702	90232.75849	46303.7629	95767.74824	121950.7517	36832.30961	84836.6955	66579.27829	18999.99093	12625.97125	25879.78104	81904.19566	22400.17329	50033.91979	69522.45008	32024.14589	41854.83169	35237.19292	9328.325395	36261.07548	16039.51733	34077.45239	31044.25633	33522.3003	24508.44858	24387.55784	122462.326	47871.41406	201647.21	92529.32753	172986.0505	74505.41772	71632.75537	93047.97066	63716.70503	64312.71842	68281.79933	93196.33856
O00116	181581.789	277085.2128	294656.4954	260616.9198	246606.5848	345752.6288	275269.7479	396281.6152	258814.3781	244924.3238	549142.7451	330551.0684	272278.7311	355771.544	411142.5809	277273.0807	281453.2644	263416.4791	555709.4576	317014.6133	401531.5525	364388.8411	403930.9275	388330.9093	287413.2854	360714.5772	444151.9837	329112.4282	319612.0102	257721.3592	206972.6319	274952.0639	314649.4338	297989.4532	312636.2899	271390.0871	196246.4764	276515.5089	269971.4045	285483.1785	138211.1819	225446.4955	410573.0357	258018.7829	194960.4944	234115.7525	252994.2024	281247.8207	479035.6878	410505.0642	468152.2735	416235.728	486505.9026	270395.5374	373918.9267	406780.0518	411974.6909	406592.4412	387337.6977	359966.2048
O00151	271482.7692	348410.9963	337930.4199	167100.0226	155656.8833	188789.2797	177650.4111	218844.8386	173880.7344	169718.8965	184621.3546	171321.8767	237783.7775	343233.4682	317062.8213	222640.1503	210844.0428	220935.8034	187052.4383	173979.3314	171143.8513	162130.365	142911.7256	198567.8093	147792.4798	148043.4934	206830.371	147030.2095	182722.5842	127740.9965	196893.7181	318183.4946	372153.0951	186061.191	171105.2837	181540.3797	122182.7084	180149.7378	185263.9199	154752.9385	77128.97771	144025.612	246796.5103	288027.1832	312908.9264	242560.2929	265570.6197	225151.5445	156315.1564	179807.127	190382.5662	197984.316	156841.8045	195569.1277	178549.0913	209160.5671	203450.7903	196432.233	192623.0777	233306.1671
O00154	69854.13188	68974.56456	38533.87995	16735.80758	30890.52103	70874.42535	74635.56698	76016.63022	43155.59717	57935.40377	92384.44283	81977.3376	36122.6271	234797.7215	35787.44978	141089.8659	176789.7724	126845.5232	178067.9234	139849.3593	160171.3796	222253.6398	141594.0432	182634.872	125231.3419	133858.4054	187746.3935	112385.8667	144881.5713	103974.7428	66377.41981	38236.1604	89267.4414	60457.88126	76024.52635	78625.97974	82120.51731	57183.45172	45620.64899	65166.37767	36801.9207	57360.53826	58891.09369	156458.2821	63626.99037	142031.8723	129416.1515	135919.5518	126161.122	83366.52548	133473.9122	158933.4747	134939.6533	141198.5734	120333.8841	122783.3354	114939.4204	95507.4473	127171.1374	167167.2807
O00159	274094.1182	273973.5359	268858.871	227448.8593	194103.3978	270003.4547	292875.5636	362099.1595	252620.3574	278133.7302	307333.0676	272588.604	240882.225	373418.1958	361909.1846	250795.579	289027.0496	285251.1715	284339.0744	312830.1954	299677.9461	229008.7209	214944.4851	252665.718	252986.139	246900.418	361808.3176	234625.3919	266375.831	190202.2282	251380.2819	291639.6938	252080.1997	224933.0512	227992.0376	214115.3232	220339.7536	234820.9263	263425.9884	206416.2086	108696.474	187150.2547	253015.5951	308179.8304	296103.4197	248429.4034	266988.0115	268346.8189	249285.946	311558.7459	282821.6965	254184.7358	260487.6122	248394.2947	276097.0965	293018.4826	313222.0399	254457.926	278287.9594	295203.7663
O00160	356849.7876	681978.5667	620585.6603	524512.225	421456.8253	502643.472	542460.2019	688907.6866	498239.172	456498.1644	591857.4922	475369.5135	667810.1145	444057.1888	678776.4189	310567.9637	394458.7612	531187.9106	378266.3589	674556.5376	370051.7056	323574.307	310929.2843	456454.768	580051.4391	471170.422	691525.4744	449550.7765	494989.7239	339482.2796	295450.6771	637417.1622	539992.6044	428927.6729	629377.531	328714.024	467690.8281	560188.1137	457443.9357	362103.1046	189153.4582	385879.0871	667594.3322	283537.4078	514269.4466	331551.4142	356864.9207	469979.3146	374626.0978	727373.7275	533301.3305	474860.8055	432165.9826	425357.4178	515170.0987	423450.416	559676.315	480210.1357	602138.2128	571408.2224
O00161	42477.37893	55989.79895	74285.15548	73831.87179	66185.55247	74708.27708	63279.53514	80222.31482	46379.92586	61977.87924	125688.3164	79031.81011	54456.62697	132669.5811	92775.54569	72813.61761	66113.86886	51436.56699	71299.45	62653.24201	80461.89729	76411.03709	58870.50799	78263.13041	43634.88826	70403.92051	79123.84323	77072.33338	66043.68044	55167.19479	66265.08176	48842.42431	57538.82477	73046.26284	75483.78874	63939.72074	55929.95188	123975.4594	68458.25902	122349.8393	42612.95619	61180.22597	50421.74369	86241.76533	77067.74387	89459.20395	58756.22908	64398.11099	66592.31915	64517.57492	83592.81141	145546.161	75951.59695	81954.04916	79822.17964	90714.63732	74473.73064	79389.64087	81446.75035	61325.38689
O00170	349966.682	172009.7712	316679.5817	245549.105	303499.4324	398228.1426	459161.1535	548612.5324	423082.9729	507193.016	483114.8697	506104.6818	234981.2697	593613.7862	317793.679	404115.5093	383833.5866	403064.0233	228005.4237	320271.0534	409412.7826	290449.1728	216737.7332	296194.9908	390646.8702	381716.8054	411968.0966	225829.5914	394076.2212	303853.8079	349694.946	301537.4223	455734.9529	402029.9819	472403.3675	400868.8741	305370.4403	318494.3269	335365.099	209199.6329	212289.5374	335050.9451	326503.3144	419096.8867	455482.9874	354145.7599	366675.1639	294806.927	324998.874	318482.6061	420506.4175	289828.8494	212812.2505	320765.806	363842.6378	479467.3773	391008.4369	359440.4018	413829.4862	428708.2473
O00186	1673485.623	1217804.903	872095.0331	577564.9325	479076.0646	672616.0533	1000760.603	1243636.543	985925.4583	876090.5141	1027556.684	699998.1797	865573.7882	1662819.473	1392473.35	1080833.814	1216523.084	1283339.244	564401.9207	968856.7765	563877.6197	423914.65	445292.083	661224.4741	746198.4233	666215.544	1003307.226	592040.8029	610928.8771	466935.3177	1695577.89	1243602.582	1090057.245	599862.7218	761386.756	623221.9837	821038.4939	1287389.37	987457.4906	698352.3256	417817.6908	807641.3276	1180422.811	1528053.287	1398926.357	1527290.97	1538142.369	1725899.388	732068.3109	1261844.554	754608.6264	595909.53	650598.6702	790131.1183	1103618.873	636157.0619	1118877.394	929066.8511	847310.7775	825156.1209
O00193	137984.734	147937.2615	171772.3223	158019.4386	145965.7924	201971.5361	125379.1525	162598.4109	111895.7494	155260.3947	149751.3749	137980.3996	167152.2392	222351.3561	175690.4706	139359.898	153664.7589	119469.0469	169001.9766	156353.368	202757.8521	168946.7149	144576.0141	167866.2147	127008.1512	160770.1151	197730.6305	133446.1048	130123.5947	106398.4847	153532.331	170025.8259	188180.3671	132024.5188	197640.0724	199172.2138	118639.2671	157313.3205	183059.641	127640.3616	90763.87725	126854.2101	219656.027	184785.908	181090.2306	168430.3199	174949.9988	141142.6285	160412.4985	169495.4876	198506.4623	204521.6849	197779.8099	165214.7912	157198.3765	179050.7186	189815.1494	170605.3929	196482.9448	205798.26
O00194	152767.2541	222656.314	238059.6647	286275.2565	305570.0838	278480.8702	212164.1176	201789.0348	207679.2532	270530.2982	216894.5096	211166.9397	189330.2017	263728.4952	233380.1878	162094.5262	170135.4777	216371.8944	230374.0756	226395.0566	284677.2863	336189.9669	192289.6724	188412.012	193210.529	199153.7283	194565.5602	187805.5985	195152.7461	168439.9325	154177.9923	171556.2563	255492.6197	183340.3789	203107.3414	202769.0593	145327.6533	168716.1741	268583.1436	166663.0367	124997.5643	147486.802	185851.7273	160655.0274	182148.132	141061.8323	172030.059	159368.7319	239890.9697	194839.2691	314100.561	243035.4913	233297.2285	273154.1414	208128.4692	269270.5139	207275.0898	187415.4531	220391.5547	350734.9671
O00203	117797.3134	132679.6762	187058.1864	181397.6811	186884.2865	274066.8936	183756.1005	205314.7943	148347.839	203348.083	200395.665	172361.4586	128144.4667	242016.8535	201804.7604	136523.282	152901.6013	123930.8791	219424.892	220373.4737	244379.212	210769.1988	169109.5633	247956.2633	193952.8226	230131.32	279657.1231	192206.2843	387987.364	158147.5238	116758.3676	128038.3142	185257.6981	131582.8863	236109.229	173680.7154	145394.0624	109317.6529	133613.4223	144882.3292	89830.36418	108456.9285	143844.5664	184784.6764	158889.1019	119783.3737	156998.786	89998.4239	196797.9743	200852.2476	253371.7302	207459.1354	206553.1441	187364.1036	223524.4746	223281.8734	209390.1324	250471.1971	187520.6321	208052.9394
O00217	66291.62692	58646.74284	67369.90504	82663.386	56067.76674	85294.84618	79759.34301	70173.39242	59014.74941	71046.68902	71568.39537	56686.79568	55386.33695	105535.525	58125.53724	60851.14114	62816.65391	65819.3395	70880.57019	45840.39107	72306.96019	56757.57085	46009.53885	71886.05453	54558.56495	66480.82075	82593.44531	50076.64725	64617.88762	45330.10131	52621.83594	47846.41187	61201.64937	67428.94654	80425.44367	68247.92736	54137.53432	63233.79819	60839.41295	45450.87023	31413.06874	43509.44561	62554.88611	65151.91103	68300.61292	67489.27617	60409.72329	50403.67127	61342.73089	55121.15878	59857.08089	70336.27925	72088.41659	70839.23815	64092.61383	69734.12113	75535.82693	56027.41145	75187.35057	81284.54073
O00231	120532.8646	91583.8298	145974.3764	170687.8779	136437.9115	196906.2561	124475.4249	144061.7034	99523.89987	140486.6518	163177.7852	128142.3062	89545.24732	204663.8753	149595.2036	128199.4302	138440.3693	87638.88314	174608.045	122621.1959	210634.2808	169656.1436	139536.2225	147372.2307	141622.6384	162032.6374	173883.733	134244.372	158178.0779	123581.6514	103537.0568	91838.85462	148076.339	160551.5854	156019.8351	164309.8393	94273.76453	98598.55066	105277.3426	106137.0477	70850.62171	92801.80006	115533.0126	144157.0056	120754.5971	132804.1722	127549.9044	94447.20887	159676.83	121686.6319	203605.8888	189834.7957	170474.342	147425.6155	154768.2859	193157.7515	158736.3011	147119.1057	162260.0739	195081.0424
O00232	44896.20463	20352.52456	55647.53165	93727.03691	37603.3097	127002.2272	98338.18608	110416.6611	56591.37943	33984.83593	96274.89623	101033.3732	11762.47822	130334.0033	85422.3257	71156.33269	70837.85826	44536.29632	241659.1287	172888.5286	184799.5337	114203.1304	158396.9269	139337.0747	105624.8332	127433.8039	170503.3788	120586.6838	104643.7403	92333.15758	34776.10831	29470.53931	61820.39261	68457.82342	51363.84309	61669.18789	72502.78641	26707.46113	46153.7107	40344.34331	11707.26213	36876.66183	26356.13575	66418.87909	40133.06257	38512.98232	39461.48352	26868.55388	172477.4461	110975.954	145577.0834	98868.91652	149203.3291	84589.65657	98883.95983	96472.95614	95404.03285	98279.29407	79847.38766	136113.2842
O00244	171724.2309	180262.902	228826.5775	187040.6993	105274.0889	190777.9227	186484.2381	178952.141	175877.8288	136995.8629	185814.7458	161671.8053	232901.4071	252196.9323	220332.4436	156314.6963	152665.3769	145277.3814	183781.0116	160634.3627	195945.0308	183281.4118	168601.6976	134578.1876	151159.724	146537.6917	261222.1594	96296.92619	179936.9011	163595.5553	178815.3046	193373.5502	215822.7087	212801.1171	168127.2799	159879.1843	167363.6204	192987.9087	219897.7538	160212.3	169836.4178	153414.2383	237561.1867	174336.9657	194847.6172	201547.8318	188386.487	158355.3919	187784.4773	206067.6009	207374.4055	192159.6827	237789.3967	180196.0517	207961.2898	200094.6051	210212.5581	183711.9731	158965.0871	264974.2288
O00264	194632.9578	223102.022	218593.6469	170983.4039	142107.9805	202800.3661	189356.6761	255684.7504	189454.5132	182963.9875	215398.8089	192689.2031	198061.8182	397717.8875	245348.1006	222210.1092	262097.0199	184209.0596	157875.9112	223001.3945	174684.8034	125279.2284	111742.3577	157709.2311	167139.2901	165154.8659	221016.9329	181303.6623	160470.111	101683.6905	175065.7947	167033.7768	221992.0054	137516.0804	200943.6428	167445.7821	134432.2032	192805.6348	148399.5704	137005.1578	92880.99848	132857.0028	170556.0907	326581.9655	232508.9701	249386.2208	259995.4436	199910.1734	131469.0205	198031.5936	158447.8615	164132.147	145507.2068	169415.3008	131741.4039	188424.6669	204335.6357	157179.9058	215251.7514	143838.2086
O00267	273684.531	463729.2855	434602.7151	367793.6994	303753.5237	381863.3788	439345.3041	486000.6783	363988.1279	410088.0333	430335.1256	407922.0986	497871.9956	315172.9227	455156.5367	236221.6911	263367.4871	407336.4096	341672.9624	496388.423	348483.5981	307145.3255	263122.9496	352969.9957	386794.2696	359418.1989	524317.7257	349602.341	337219.1032	268084.5776	247113.0325	418484.189	435006.0464	332319.892	390799.4542	312640.1515	359573.4795	374529.893	341646.709	318727.8092	195925.9784	316603.052	434476.3109	237023.9827	379789.8614	296930.7029	218293.5504	311133.8692	275492.0669	461186.6628	337049.576	302693.0999	314421.6685	322271.2229	416366.0179	378885.3556	441621.1231	372618.3687	394285.8472	424877.341
O00273	19142.40017	31406.74111	42859.24434	41288.64392	18168.8589	53482.30178	18691.50264	33713.77617	31860.08326	45365.07463	49079.99722	20269.69836	27873.33361	52959.67666	34793.22071	36448.23886	34458.20191	25397.65857	49577.11122	42187.98602	58417.23873	47065.9608	40631.34842	49731.26064	37228.61848	52963.16866	52763.79841	30981.91923	46315.00397	40199.06946	31002.00284	18435.09662	45926.73523	22247.98731	27147.39756	42548.59245	19516.28142	27609.33773	33797.54091	38196.45941	15990.38236	31572.69884	31305.61443	42916.71387	38175.86944	32270.41683	26520.97075	22068.84302	40345.59667	28393.10561	56325.99698	61670.90982	45910.5417	40066.06274	41878.24398	64948.5337	33417.01312	43031.45523	25682.01096	62476.08172
O00299	306775.0126	219245.2415	365175.6213	477291.0115	404015.169	544400.7687	306292.1944	348592.7814	246895.5965	417014.5479	444193.6494	363031.7884	216317.6356	597074.9996	370289.4396	339020.7793	355444.1216	217984.7172	494369.6578	301732.4102	547343.6358	492528.1658	369578.413	407028.1328	403928.023	476774.4643	506240.7834	355181.4349	431521.3973	329364.4264	270655.8665	199196.1469	350117.4819	406511.0733	466296.5671	458225.9701	214667.6118	264980.3233	248551.9293	301618.1633	183005.9384	259819.1554	231578.7159	452893.3342	340554.7593	348088.3739	333488.8912	223469.6292	418578.9085	315342.4832	525275.8973	518805.1489	453589.5872	386510.6206	455883.9181	523764.5702	425782.8108	399894.7062	451417.4349	491839.2798
