Protein	kidneyTisue1	kidneyTisue2	kidneyTisue3	kidneyTisue4	kidneyTisue5	kidneyTisue6	kidneyTisue7	kidneyTisue8	kidneyTisue9	kidneyTisue10	kidneyTisue11	kidneyTisue12	kidneyTisue13	kidneyTisue14	kidneyTisue15	kidneyTisue16	kidneyTisue17	kidneyTisue18	kidneyTisue19	kidneyTisue20	kidneyTisue21	kidneyTisue22	kidneyTisue23	kidneyTisue24	kidneyTisue25	kidneyTisue26	kidneyTisue27	kidneyTisue28	kidneyTisue29	kidneyTisue30	kidneyTisue31	kidneyTisue32	kidneyTisue33	kidneyTisue34	kidneyTisue35	kidneyTisue36
P62805	1162786	1582979	1300718	2264993	1086128	2264993	1582979	1027250	2602327	3663530	1300718	1798994	1582979	1798994	1686138	2049549	2414317	2602327	1002596	1686138	1380456	2264993	1130692	1798994	1300718	1086128	2414317	3663530	1300718	1798994	1300718	1507484	1582979	1910378	2264993	2907602
Q8N8A6	2049549	2049549	1380456	513437.9	1130692	2602327	1804.537	1380456	1582979	1219164	633821	1582979	446678.9	1219164	2049549	372485.6	940142	1300718	2049549	NA	1507484	534962.2	1002596	2414317	2264993	1380456	1686138	1582979	760797.8	1582979	559863.8	1300718	1910378	411215.5	940142	1300718
Q13492	15847.52	NA	23060.3	25487.3	20764.95	NA	1804.537	7665.211	12617.18	8404.697	18760.08	14049.16	16477.31	25912.83	13793.52	15847.52	15689.55	9065.825	17484.32	NA	26628.24	22426.11	21593.88	NA	2064.747	17380.49	16600.61	9229.783	25318.95	21634.76	19690.86	NA	14738.54	23992.28	20961.99	17484.32
P55285	NA	26011.69	17976.62	19849.41	NA	21010.82	1804.537	39497.49	3440.078	NA	NA	32940.66	15516.18	23498.15	NA	18200.78	78414.15	73200.35	NA	26314.17	37526.54	17778.32	NA	27128.02	2064.747	50560.56	NA	NA	NA	31454.9	19175.72	30313.51	NA	NA	76292.57	70903.29
P56556	91127.04	NA	114195.5	NA	93587.75	NA	67333.54	NA	95793.82	117967.3	131429.8	NA	68927.99	NA	107857	28140.73	NA	NA	102711.5	NA	103960.2	NA	NA	NA	2064.747	NA	82107.82	126409.1	107857	NA	98104.31	NA	99028.47	26157.97	NA	NA
P05026	73975.35	56058.65	138230.1	36339.93	144058.2	31454.9	1804.537	26788.93	133014	310472.5	159013.3	40420.69	82528.65	38212.23	289533.3	25255.74	56135.9	30434.37	72273.86	57169.19	132774.2	38212.23	145114.2	27967.68	2064.747	35246.61	131151.9	236030.4	155137.9	43184.22	80199.58	42132.29	273261.7	28649.97	46763.48	37448.41
Q92522	NA	NA	NA	NA	NA	32815.68	1804.537	NA	NA	NA	NA	28951.34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	66822.64	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A6ND91	77850.57	164343.5	79161.4	204722.1	72866.16	NA	1804.537	51085.24	74406	52415.71	75858.83	203233.9	87836.96	230373.5	59915.42	151558.9	119242.7	94670.18	71375.87	165765.9	81771.48	194290.6	73411.06	55628.06	2064.747	65130.74	82242.07	NA	79024.33	209499.9	92200.62	237958.5	65031.81	164343.5	125612.2	93734.03
Q3YEC7	28213.44	NA	30812.9	32198.97	36422.79	31920.16	1804.537	NA	30039.09	168411	41711.94	51690.71	28285.6	NA	37020.33	NA	15116.91	24133.67	NA	NA	31289.59	32336.43	40075.74	NA	2064.747	NA	15313	NA	NA	39986.9	28403.81	NA	28782.87	NA	NA	NA
P14209	NA	20589.93	5424.269	21706.65	11974.4	19314.17	72497.5	NA	1849.661	NA	NA	11359.64	2394.003	20057.06	5299.794	10434.71	NA	NA	NA	23060.3	NA	21381.11	14687.37	NA	2064.747	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
