Protein	kidneyTisue1	kidneyTisue2	kidneyTisue3	kidneyTisue4	kidneyTisue5	kidneyTisue6	kidneyTisue7	kidneyTisue8	kidneyTisue9	kidneyTisue10	kidneyTisue11	kidneyTisue12	kidneyTisue13	kidneyTisue14	kidneyTisue15	kidneyTisue16	kidneyTisue17	kidneyTisue18	kidneyTisue19	kidneyTisue20	kidneyTisue21	kidneyTisue22	kidneyTisue23	kidneyTisue24	kidneyTisue25	kidneyTisue26	kidneyTisue27	kidneyTisue28	kidneyTisue29	kidneyTisue30	kidneyTisue31	kidneyTisue32	kidneyTisue33	kidneyTisue34	kidneyTisue35	kidneyTisue36
P09110	288001.7778	46353.275	237958.4833	30102.46944	297711.2	37098.08611	67454.83889	92200.61944	231528.4306	12617.17778	263299.0583	NA	222387.2083	NA	177210.95	27857.94167	84689.83889	43497.88611	280540.2583	77962.16667	235242.4556	23827.06111	302761.3833	41190.06944	2064.747222	97756.43611	122386.3056	NA	177772.0361	35479.70278	268122.8361	NA	163965.7639	45871.05	27432.71944	47697.29444
P05166	246687.75	70504.27222	253890.9056	NA	314250.0694	33680.65278	108554.7139	321442.6944	260389.5194	183399.7111	258247.0806	139288.4583	284934.4944	115138	245595.875	30488.41389	221564.9694	280540.2583	240054.7583	65477.98889	250479.2778	NA	327799.0389	41974.24167	125103.0361	321442.6944	175808.5028	207384.6972	203666.25	36493.12222	201171.9389	60214.33611	240054.7583	27005.53056	160172.6972	224837.6167
Q96RP9	37872.59722	NA	40359.89444	NA	73975.35	NA	64601.65278	56815.28056	34506.98889	35176.2	98642.34167	23060.30278	91995.30278	NA	37735.47778	33491.8	48208.46111	47858.23889	39584.43611	NA	67976.03333	23631.73889	46763.47778	NA	2064.747222	53619.98889	67555.47222	63905.90278	34436.2	NA	92823.64722	NA	62603.47222	42678.39444	51910.26667	54839.00278
Q15417	28364.89722	NA	NA	NA	NA	44156.46944	52272.02222	27128.025	10577.49444	32524.26667	14171.12222	33388.925	27593.38056	49821.31667	23144.21389	24964.95	32403	NA	24907.93611	46053.91944	NA	NA	25129.85556	42948.40278	2064.747222	26438.35278	23207.51389	26736.88611	20057.05833	33116.58889	37526.54444	37786.89722	30434.37222	28736.94444	33116.58889	NA
Q96FQ6	NA	35176.2	NA	66058.38611	NA	30674.60278	1804.5375	21706.64722	NA	NA	11359.64167	NA	18677.57778	41493.97222	12617.17778	22496.77222	NA	NA	NA	36422.79444	NA	75858.82778	20589.93333	31161.05556	2064.747222	20398.125	NA	NA	NA	NA	18760.08056	39848.8	NA	22619.79444	NA	NA
P62820	NA	NA	NA	NA	NA	NA	54417.16389	3130.811111	NA	68503.39167	NA	NA	NA	NA	NA	NA	NA	NA	32596.28333	NA	NA	54839.00278	NA	48748.28056	2064.747222	NA	NA	64601.65278	NA	NA	NA	43350.85833	NA	42316.625	NA	NA
P27169	NA	47101.825	58436.30556	18128.35	NA	33573.35833	112930.5944	NA	NA	NA	NA	59432.1	NA	39084.55278	36282.92222	16953.34444	NA	NA	NA	45107.12778	NA	19506.66944	NA	38130.55	109838.8889	NA	NA	NA	NA	54990.34444	NA	42825.81667	38443.16111	NA	NA	NA
Q9UL46	33680.65278	99968.925	59047.325	145114.2222	33256.26111	141575.7361	77962.16667	75727.375	64365.04167	121022.2306	40286.825	114480.7917	40567.00556	104458.4222	42876.78056	83666.13889	55954.91667	62742.03056	33768.26667	111940.7639	59915.42222	151558.8611	38443.16111	113145.4611	79024.33333	73747.38056	40140.37222	93734.03056	29748.37222	89524.71944	31585.27778	89524.71944	36825.06389	72866.16111	59735.84722	46553.01944
P08237	39644.09722	NA	54240.60556	NA	136063.9972	NA	1804.5375	62845.96667	141296.2972	100616.2694	137596.7167	NA	140860.8611	NA	96590.73056	NA	92823.64722	51085.23889	155550.8472	NA	47697.29444	NA	136063.9972	NA	2064.747222	58618.04722	143381.05	96590.73056	136629.5861	NA	143056.5028	50923.03889	101544.7639	NA	89057.4	49636.30833
P04040	292456.0528	149632.625	239229.2278	24964.95	258247.0806	220764.4333	540115.8056	133921.8944	284934.4944	367784.6583	293727.3139	179981.8806	259314.5667	124294.3139	204722.1472	77070.33333	109006.6667	136875.9056	290924.3778	163095.2222	237958.4833	31389.74722	271920.3667	227900.2778	499422.7611	150524.4639	294964.2667	408058.6167	297711.2	183892.9583	263299.0583	130557.2361	196996.7833	85740.41667	120716.1944	135034.975
Q8WYA6	NA	NA	NA	NA	NA	NA	1804.5375	NA	NA	NA	NA	NA	NA	NA	NA	27646.1	37621.73056	26686.24167	NA	NA	NA	NA	NA	NA	2064.747222	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9H0W9	454591.5833	77225.75	393512.7472	55431.71944	365975.5472	180535.0917	188742.4917	77348.16944	352898.8722	119242.6611	417999.9306	263299.0583	474797.0194	229655.8833	427427.9944	143697.0389	124568.0333	146454.4139	441856.5167	74156.40556	370040.4583	44605.86389	363784.5722	187566.7972	129074.7528	104101.6361	375463.4361	119650.7611	457756.2306	240054.7583	529672.9389	251821.7111	435248.4444	181573.1667	104458.4222	169404.1694
P31948	76018.00556	83236.9	83516.5	137596.7167	75613.88611	110367.1861	98642.34167	195146.0472	77709.525	282315.8583	65948.93611	122386.3056	81635.41944	129969.2417	67749.80556	124568.0333	108554.7139	135737.1806	69039.95833	92656.40278	85600.46944	147792.8639	65262.98611	109273.6861	91127.04167	218888.0222	122047.1528	297711.2	65130.74167	108770.2389	94182.11389	134155.1972	63816.85	135737.1806	112680.0639	98824.39722
O94901	57623.33889	NA	NA	NA	72273.86111	NA	1804.5375	NA	NA	NA	58063.49167	NA	NA	NA	NA	NA	NA	NA	60013.65556	NA	NA	NA	71252.18889	NA	2064.747222	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q99714	175372.7444	114480.7917	181096.8333	75400.28333	222387.2083	91466.47222	218888.0222	269679.725	179177.4333	165285.9417	202618.1889	117389.5083	191537.0444	41135.21111	196208.4583	151044.7472	210269.6306	294964.2667	183892.9583	82644.38333	179981.8806	102286.7944	233372.8583	91325.88611	196996.7833	293727.3139	174540.8333	173069.6306	217235.1083	109838.8889	202618.1889	96933.72222	199390.7111	148188.175	208139.1139	294964.2667
Q15833	14224.84722	24264.99167	14303.04722	19690.86111	16316.32778	NA	1804.5375	NA	14303.04722	17309.98333	11459.84167	14224.84722	12617.17778	NA	14224.84722	9837.458333	21131.375	5634.227778	13283.71389	28846.58889	20057.05833	12924.71389	17380.48611	NA	2064.747222	11880.63333	13166.66389	17826.70833	16542.78611	21010.81667	15689.55278	28403.81389	16600.60833	21010.81667	20453.29444	12107.39444
P08195	50797.625	42825.81667	63302.14444	26628.23889	85345.175	NA	1804.5375	NA	77850.57222	NA	100616.2694	NA	76579.02222	NA	44010.16389	17146.31111	NA	NA	80199.58056	41362.59722	72273.86111	32198.96944	75858.82778	NA	2064.747222	NA	76292.56667	NA	108554.7139	NA	79584.07222	NA	43023.30556	21831.55556	NA	NA
P26038	333342.6833	438752.2639	421056.1528	381249.475	241992.2528	404349.8083	164343.5333	172028.6222	446678.9083	167923.6944	367784.6583	310472.525	404349.8083	393512.7472	292456.0528	427427.9944	390317.4667	244865.7333	273261.6639	446678.9083	404349.8083	306071.7972	222387.2083	423963.4806	191537.0444	182241.5917	441856.5167	174111.8389	341137.1667	261842.85	347082.4778	359398.6278	253890.9056	393512.7472	343261.9917	304443.9417
P09104	NA	144058.1806	NA	184650.4972	NA	137596.7167	126146.25	21831.55556	NA	NA	NA	119650.7611	NA	404349.8083	NA	48438.28611	57080.76111	NA	NA	151558.8611	NA	181096.8333	NA	123793.9444	2064.747222	NA	NA	NA	NA	171211.3833	NA	417999.9306	NA	41294.54167	57432.64722	NA
P07148	1219163.714	34579.48056	861796.25	NA	940141.9917	NA	1804.5375	NA	1130692.189	NA	1057986.386	NA	789446.125	NA	221564.9694	NA	NA	NA	1162785.536	32336.43056	805128.3833	NA	970053.3306	NA	2064.747222	NA	1300717.747	NA	1057986.386	NA	838302.8639	NA	227900.2778	NA	NA	NA
Q96Q11	NA	NA	NA	NA	NA	NA	1804.5375	NA	NA	NA	NA	NA	NA	NA	NA	NA	37098.08611	35565.02778	NA	NA	NA	NA	NA	NA	2064.747222	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	42404.53333
O15083	NA	NA	NA	85740.41667	NA	NA	1804.5375	NA	83390.32778	NA	NA	NA	NA	NA	NA	142306.7667	NA	NA	NA	NA	NA	72396.48333	NA	NA	2064.747222	NA	70213.42778	NA	NA	NA	NA	NA	NA	142679.6028	NA	NA
Q15911	NA	NA	178745.2667	393512.7472	205865.0722	682653.8611	1804.5375	NA	243050.1056	NA	189860.4833	NA	NA	NA	NA	457756.2306	NA	NA	NA	NA	NA	NA	NA	NA	2064.747222	NA	252846.2278	NA	216312.2306	746003.8694	NA	NA	249685.2694	441856.5167	NA	308775.6972
Q9BUR5	35479.70278	NA	27260.10833	15459.05556	40140.37222	NA	1804.5375	46154.89444	30730.15278	54737.36111	47185.33333	13642.38333	28517.16944	NA	40140.37222	NA	NA	10649.17222	34436.2	NA	36956.08333	16653.17778	47858.23889	NA	2064.747222	33003.63611	20057.05833	52572.61389	32882.37222	19983.67222	35358.80556	NA	33768.26667	NA	NA	24264.99167
Q9UJ83	417999.9306	NA	435248.4444	NA	336790.7667	227161.6917	1804.5375	174111.8389	276628.6194	NA	274264.6194	NA	317227.1472	271920.3667	336790.7667	NA	NA	372485.5861	446678.9083	NA	390317.4667	NA	307204.9611	211073.8028	2064.747222	169817.5778	333342.6833	NA	335047.875	214743.125	333342.6833	312295.6222	327799.0389	317227.1472	591008.7972	441856.5167
Q8WUM4	50008.50556	34991.43889	70504.27222	50108.55	59047.325	41611.18333	84319.77778	97140.59444	56715.96111	134561.675	52110.30556	61553.76944	67555.47222	65262.98611	68597.03333	59827.375	73200.34722	75049.44167	64108.37222	40359.89444	70903.29444	49636.30833	49821.31667	37258.59167	76579.02222	76685.11389	37386.23333	141296.2972	51791.05	52957.46944	65948.93611	77850.57222	64790.48611	66477.81389	106131.1806	46053.91944
P53597	387432.1583	99433.58889	228946.2806	94932.09444	310472.525	150524.4639	187002.3444	299487.4639	275420.6917	308775.6972	299487.4639	101732.6806	245595.875	108554.7139	270810.8833	89524.71944	192915.5889	276628.6194	357417.5972	96737.89722	205171.55	95793.81667	288001.7778	162300.5278	193664.7694	299487.4639	245595.875	306071.7972	304443.9417	176759.0778	218057.1139	141996.6361	263299.0583	162300.5278	227161.6917	246687.75
O00186	NA	28468.21111	NA	NA	NA	19019.675	1804.5375	NA	NA	NA	NA	21949.825	NA	NA	NA	NA	NA	NA	15575.29444	29005.53333	NA	NA	NA	NA	2064.747222	NA	NA	NA	NA	27509.79444	NA	NA	NA	NA	NA	NA
Q8N335	52415.71111	NA	59328.50556	NA	54240.60556	21949.825	109838.8889	91466.47222	45427.61389	109273.6861	50443.02778	NA	52700.48333	22321.01111	45502.31667	NA	57623.33889	41362.59722	54737.36111	NA	62380.68889	NA	54839.00278	23827.06111	152627.3278	71658.52222	49636.30833	128471.9694	52194.85833	21381.11389	52572.61389	28517.16944	53332.26944	NA	65757.16389	52008.525
P08621	48594.65	51791.05	47269.06944	86082.28333	44306.31944	53026.19444	1804.5375	NA	59432.1	54839.00278	49636.30833	60605.32778	52477.21389	NA	NA	72977.35278	74546.25278	82242.06944	33003.63611	60605.32778	49636.30833	93224.90833	NA	56917.53889	2064.747222	NA	50797.625	60140.20833	77962.16667	71375.86667	50797.625	54737.36111	58798.93889	76292.56667	65262.98611	81193.98889
Q969V6	NA	91325.88611	55954.91667	NA	74269.09167	80102.56944	1804.5375	NA	71906.43056	NA	NA	152627.3278	72497.49722	72497.49722	89662.875	51690.70556	68707.95	41576.85	72021.55278	92973.79722	NA	NA	NA	88904.66111	2064.747222	NA	NA	119242.6611	NA	NA	NA	NA	NA	NA	45107.12778	NA
P08311	NA	NA	46154.89444	NA	NA	67879.775	1804.5375	NA	53026.19444	NA	NA	68927.99444	NA	NA	NA	NA	218057.1139	78414.15	NA	NA	46895.875	NA	NA	56514.52778	66379.24444	NA	NA	NA	NA	NA	NA	NA	NA	NA	219709.9306	63302.14444
Q9UKU7	46053.91944	31797.31667	50179.16389	NA	64601.65278	NA	75160.02222	49228.15	44010.16389	28070.84444	41974.24167	NA	41840.20556	NA	42678.39444	NA	24335.52222	32270.83611	46053.91944	NA	49467.07222	NA	61900.07778	NA	2064.747222	46053.91944	44605.86389	29987.46944	45014.49444	NA	40567.00556	NA	44397.45278	NA	32560.275	40286.825
Q86X76	75613.88611	NA	61068.98333	63988.55	80199.58056	69590.70833	1804.5375	55745.14722	70389.425	NA	84009.8	75506.47222	78547.76944	84980.21389	76153.19167	NA	57523.94167	40935.27222	70713.01944	NA	59540.84444	70713.01944	78753.84722	73278.35556	55745.14722	58932.00278	52415.71111	NA	91127.04167	88437.70278	73098.975	90138.99722	67663.88889	41974.24167	54642.17222	48208.46111
P05162	33491.8	NA	35565.02778	NA	52415.71111	36825.06389	1804.5375	23560.06944	18592.76944	NA	36763.91944	72761.175	35479.70278	50008.50556	24907.93611	NA	16653.17778	22730.30833	34916.06389	NA	30730.15278	NA	32815.68333	71139.86111	2064.747222	NA	25737.06389	NA	54478.54167	61777.62778	40420.68611	60416.61111	32270.83611	NA	NA	24705.79167
P23946	NA	NA	NA	NA	NA	NA	1804.5375	NA	NA	NA	NA	NA	NA	NA	NA	NA	61155.07222	14049.15556	NA	NA	NA	NA	NA	NA	53240.82222	NA	NA	NA	NA	NA	NA	NA	NA	NA	64454	14303.04722
P01834	462133.8694	885197.1139	692332.4639	484623.9806	296507.8694	462133.8694	1219163.714	319228.3694	659554.425	351190.2028	312295.6222	524995.4472	566103.9194	692332.4639	325019.5944	494067.2389	286640.3306	263299.0583	499422.7611	1130692.189	706520.2861	469971.2417	322906.225	438752.2639	913960.0111	310472.525	643592.9806	367784.6583	321442.6944	509155.2389	540115.8056	670786.8861	248839.1306	387432.1583	180535.0917	248839.1306
P14868	12567.36389	110112.0222	54554.36667	136875.9056	30209.1	121022.2306	1804.5375	114195.5	43350.85833	95493.71111	29430.84444	182241.5917	61667.10556	201171.9389	81193.98889	247871.4917	161420.0417	94484.89722	76929.26389	114678.2556	54839.00278	177772.0361	50108.55	141996.6361	2064.747222	95951.08056	53026.19444	259314.5667	79458.76944	200648.9667	61346.325	207384.6972	69163.64722	221564.9694	185159.975	88437.70278
Q9H773	NA	NA	NA	NA	NA	NA	1804.5375	46303.49167	NA	11589.475	NA	27509.79444	NA	NA	NA	26314.17222	87070.10833	74656.38611	NA	NA	NA	NA	NA	NA	2064.747222	22251.10556	NA	NA	NA	29487.39444	NA	NA	NA	32815.68333	96253.9	65757.16389
Q14980	4583.052778	NA	NA	14171.12222	6838.705556	17976.62222	1804.5375	NA	1459.711111	3186.05	NA	25129.85556	1459.711111	26736.88611	2601.4	14738.53611	12684.50278	12154.00556	9504.372222	29111.44444	6615.541667	21509.59167	11359.64167	23942.70278	53332.26944	5634.227778	6414.702778	6047.897222	NA	25129.85556	10538.05278	30568.05556	11401.85833	21883.76111	19175.71667	11589.475
O75390	179524.6167	137175.075	223143.9167	270810.8833	212292.8167	112417.95	494067.2389	499422.7611	202049.2139	423963.4806	187566.7972	124830.2444	204722.1472	98104.31111	233372.8583	200030.7639	354757.6611	384628.9722	178254.9972	141575.7361	234531.5528	268122.8361	219709.9306	111549.7083	529672.9389	494067.2389	207384.6972	387432.1583	198108.9361	126146.25	204267.3556	110778.1306	247871.4917	211640.5389	345183.5389	390317.4667
Q96EM0	47185.33333	57169.19444	NA	NA	NA	NA	1804.5375	NA	NA	NA	NA	NA	38953.74722	NA	NA	NA	NA	NA	43023.30556	57005.17778	NA	NA	NA	NA	2064.747222	NA	27915.41389	NA	26563.475	NA	37786.89722	NA	NA	30264.74167	NA	NA
Q9Y4G6	NA	59328.50556	65665.83611	NA	83516.5	NA	71658.52222	NA	74546.25278	NA	97756.43611	21199.16111	82644.38333	25444.86389	64901.59167	NA	60013.65556	65477.98889	87306.24722	60527.23333	73524.28056	NA	85899.78889	NA	68194.41389	91628.09722	81635.41944	NA	92973.79722	NA	78753.84722	30674.60278	66240.01667	NA	43497.88611	67233.21944
P68400	NA	29538.92222	NA	NA	NA	NA	1804.5375	NA	NA	NA	NA	21073.91944	NA	NA	NA	24705.79167	9229.783333	6679.15	11115.65833	29748.37222	NA	21073.91944	NA	NA	2064.747222	NA	NA	NA	NA	NA	NA	25444.86389	NA	26093.66667	NA	NA
Q02928	40567.00556	NA	NA	NA	46154.89444	NA	1804.5375	NA	47343.66944	NA	60416.61111	NA	33388.925	NA	72866.16111	NA	NA	NA	34579.48056	NA	NA	NA	41974.24167	NA	2064.747222	NA	45107.12778	NA	63732.60278	NA	NA	NA	65757.16389	NA	NA	NA
P31946	170638.1389	205865.0722	160691.3417	222387.2083	141996.6361	268122.8361	178254.9972	149632.625	176759.0778	218057.1139	161046.5389	205171.55	163095.2222	225598.7306	136362.2056	261842.85	335047.875	286640.3306	163965.7639	211640.5389	163965.7639	226425.1694	140526.2972	261842.85	157255.7889	147423.5028	188742.4917	223143.9167	160172.6972	205171.55	166291.0361	227900.2778	136875.9056	280540.2583	351190.2028	289533.2722
P15144	732383.5028	39719.26389	572844.5944	142679.6028	861796.25	30381.40556	1804.5375	95793.81667	838302.8639	NA	1162785.536	63188.02222	746003.8694	51274.71944	591008.7972	NA	8404.697222	205865.0722	760797.7639	20764.94722	554483.0056	62603.47222	861796.25	NA	2064.747222	88118.88056	789446.125	NA	1380456.189	60214.33611	820257.1583	34436.2	692332.4639	NA	19019.675	206752.4528
P53621	64901.59167	72273.86111	83842.96667	132107.8222	59138.54722	82107.81944	82372.62778	100616.2694	74269.09167	131151.9083	71906.43056	93224.90833	71375.86667	79971.32778	79584.07222	117106.9389	72866.16111	70145.76667	60214.33611	65262.98611	78654.15556	132107.8222	65948.93611	83390.32778	2064.747222	73098.975	71375.86667	119902.0639	34116.76111	91466.47222	78078.69722	76929.26389	74269.09167	117389.5083	90344.07778	76929.26389
P02656	106433.9889	166703.4861	38072.94444	70389.425	124023.9972	73411.05833	259314.5667	20057.05833	21634.75556	5346.030556	77225.75	123135.8278	51480.32778	117967.275	83516.5	50443.02778	NA	NA	124568.0333	159751.1667	56917.53889	73098.975	129359.2306	102116.3306	226425.1694	23827.06111	28285.6	NA	87688.4	126743.5778	89991.46111	91466.47222	99968.925	66058.38611	NA	23827.06111
Q9Y303	NA	NA	NA	NA	45107.12778	NA	1804.5375	45258.62222	53434.89167	NA	45258.62222	NA	39719.26389	NA	NA	NA	73524.28056	70596.1	58932.00278	NA	NA	NA	46353.275	86082.28333	2064.747222	57850.98889	59915.42222	NA	65948.93611	93224.90833	53026.19444	101308.6278	NA	NA	75160.02222	103144.4417
Q9Y2R0	NA	NA	NA	NA	63640.03333	NA	1804.5375	82242.06944	81635.41944	76292.56667	NA	NA	NA	NA	NA	NA	NA	124568.0333	NA	NA	NA	NA	NA	NA	2064.747222	145951.8722	NA	78078.69722	NA	NA	NA	NA	58932.00278	NA	NA	100616.2694
Q9NYF8	65757.16389	NA	NA	13990.29444	63988.55	NA	1804.5375	27857.94167	52572.61389	21706.64722	60605.32778	NA	54478.54167	NA	26881.08056	27005.53056	NA	17826.70833	NA	46495.02222	NA	NA	67454.83889	NA	2064.747222	NA	48664.34167	19764.20278	54990.34444	17715.21111	43653.46944	NA	21073.91944	31663.40833	NA	19764.20278
Q53HC9	NA	NA	NA	NA	NA	18760.08056	1804.5375	23432.30833	NA	34506.98889	21763.84444	24779.10556	NA	NA	19019.675	NA	41974.24167	NA	NA	NA	NA	35637.81667	NA	NA	2064.747222	NA	NA	38794.68056	NA	NA	NA	NA	NA	NA	43737.81667	NA
P53367	NA	NA	23942.70278	40420.68611	NA	NA	1804.5375	NA	NA	68597.03333	NA	NA	NA	NA	NA	24059.85833	31454.89722	19247.69722	NA	NA	NA	26314.17222	NA	NA	2064.747222	NA	NA	48314.38056	NA	NA	19314.16944	NA	NA	NA	29655.41667	21553.00278
O75396	25318.95	25017.80833	17309.98333	37258.59167	26628.23889	19764.20278	54839.00278	17146.31111	15951.22778	15689.55278	24475.95556	29987.46944	13642.38333	NA	21553.00278	37687.10278	14628.94722	14102.79722	9347.894444	25129.85556	12684.50278	31084.26944	17204.06944	26881.08056	56514.52778	21131.375	29430.84444	17524.54722	NA	33435.33611	24411.29444	NA	22426.11389	NA	19314.16944	13642.38333
Q14019	341137.1667	66571.79167	161046.5389	161420.0417	319228.3694	143056.5028	1804.5375	76292.56667	98104.31111	NA	317227.1472	140112.6278	331530.4917	157255.7889	118793.3722	177772.0361	NA	26093.66667	343261.9917	95207.85	174984.4722	168410.95	338839.6556	152627.3278	2064.747222	91800.23889	89057.4	NA	322906.225	120161.7028	327799.0389	132774.2111	161859.3417	125103.0361	NA	NA
P35573	NA	89804.98056	NA	NA	NA	70903.29444	1804.5375	72273.86111	NA	33680.65278	NA	85899.78889	NA	116010.1111	NA	NA	92973.79722	NA	NA	47039.95	NA	NA	NA	NA	2064.747222	NA	NA	NA	NA	80345.41111	NA	140112.6278	NA	NA	86943.43056	84980.21389
O00429	16477.30556	30381.40556	10577.49444	31161.05556	18760.08056	25378.02778	1804.5375	14171.12222	13041.81111	32815.68333	12154.00556	31161.05556	14102.79722	33256.26111	14102.79722	12744.35	26490.25556	11832.575	17258.51667	31289.59444	15001.91111	26368.11111	19764.20278	27191.27222	2064.747222	16477.30556	NA	39433.15556	24184.96667	NA	26093.66667	36339.93056	27066.25833	32882.37222	29538.92222	35794.89306
O95379	NA	24655.11389	NA	NA	NA	NA	1804.5375	11115.65833	1602.947222	NA	NA	NA	NA	NA	NA	18431.09167	NA	7002.047222	NA	27915.41389	NA	NA	NA	NA	2064.747222	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P00439	110112.0222	NA	24059.85833	NA	94670.17778	NA	1804.5375	NA	48512.74444	NA	102116.3306	NA	74058.15278	NA	40795.66111	NA	NA	NA	110367.1861	NA	26232.09167	NA	99433.58889	NA	2064.747222	NA	62246.10278	NA	101308.6278	NA	76292.56667	NA	34386.66389	NA	NA	NA
Q9P2R7	174111.8389	NA	151044.7472	15575.29444	205171.55	77348.16944	174540.8333	203233.9333	187002.3444	253890.9056	204722.1472	95207.85	175808.5028	39356.67222	208762.6028	41077.87222	115537.0722	160172.6972	174111.8389	26736.88611	159751.1667	61155.07222	204722.1472	84571.84444	190935.1833	214743.125	184650.4972	227161.6917	207384.6972	92512.36667	196208.4583	78216.50833	202049.2139	27967.68056	161420.0417	167923.6944
P80748	7712.3	38072.94444	41576.85	29538.92222	5836.422222	13990.29444	62940.28333	688.6416667	4878.9	2413.244444	2064.747222	19175.71667	6919.769444	35772.375	17826.70833	38212.23333	7712.3	3303.397222	8404.697222	42132.28611	46957.70278	29698.68889	8132.7	18886.76389	59540.84444	4776.936111	10170.48889	5707.747222	8792.511111	22426.11389	9416.930556	34176.425	16703.18056	33768.26667	13283.71389	8314.363889
P55786	58530.55	160172.6972	47551.11944	110112.0222	62003.42222	75727.375	96737.89722	124294.3139	72396.48333	133565.0806	57080.76111	44228.63889	88571.79722	90138.99722	60140.20833	116824.2667	100616.2694	93424.58611	54919.61389	177772.0361	50443.02778	97140.59444	65130.74167	85464.76389	81771.47778	129359.2306	68790.77222	130557.2361	62940.28333	66058.38611	72396.48333	85600.46944	60527.23333	101043.4389	96108.93056	87070.10833
P23246	52786.48889	73631.48889	58932.00278	101308.6278	53619.98889	81325.09444	60013.65556	54839.00278	53831.875	92512.36667	51189.29444	79584.07222	64702.21944	78216.50833	66141.675	100616.2694	63640.03333	81054.53889	53711.55833	74269.09167	55348.77778	92512.36667	52272.02222	74915.41111	53026.19444	55348.77778	59328.50556	97572.18611	52110.30556	75727.375	58361.84167	70903.29444	61346.325	93224.90833	66240.01667	80741.55556
Q8N3K9	79584.07222	142679.6028	79816.24167	NA	95951.08056	138626.9111	253890.9056	48954.48611	26368.11111	22778.51944	60527.23333	108554.7139	59540.84444	167923.6944	67879.775	57265.41389	77348.16944	73631.48889	77348.16944	138626.9111	76292.56667	38443.16111	88437.70278	125612.2222	202618.1889	52272.02222	24655.11389	32105.01111	68194.41389	105601.5139	62940.28333	171211.3833	61155.07222	60214.33611	78414.15	62940.28333
Q16181	39785.63333	75727.375	38130.55	61451.05556	33974.14167	76929.26389	63548.53889	46895.875	39273.51389	38953.74722	33680.65278	70145.76667	43429.14444	80102.56944	42032.725	70389.425	64365.04167	48594.65	39433.15556	78753.84722	42876.78056	64454	38365.15	80345.41111	62603.47222	49327.24444	32750.56111	34267.10556	36073.49722	70812.28889	40075.73611	79584.07222	34579.48056	69296.96944	63732.60278	42472.01944
P61020	13744.35278	NA	6838.705556	NA	NA	NA	57737.64444	6211.608333	10701.53611	21313.90556	10993.76944	24133.67222	4583.052778	NA	12494.7	NA	NA	NA	15847.525	NA	NA	NA	NA	NA	57005.17778	NA	NA	30963.73333	NA	NA	NA	NA	8603.886111	NA	NA	NA
P57737	NA	NA	NA	13166.66389	NA	NA	1804.5375	2973.825	819.1111111	2235.375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15847.525	NA	NA	2064.747222	8132.7	NA	5255.061111	NA	NA	NA	NA	NA	15633.68889	NA	NA
P36405	NA	NA	13873.04444	NA	13642.38333	NA	1804.5375	NA	16953.34444	NA	10482.31944	NA	8132.7	NA	NA	NA	66822.64444	NA	NA	NA	15661.62083	NA	11401.85833	NA	2064.747222	NA	NA	NA	36493.12222	NA	32336.43056	NA	NA	NA	88709.01111	NA
Q9Y2X3	NA	NA	NA	10890.85833	NA	NA	1804.5375	NA	NA	10557.77361	NA	NA	NA	NA	NA	43497.88611	48818.65278	125612.2222	NA	NA	NA	30730.15278	NA	NA	2064.747222	NA	NA	3537.127778	NA	NA	NA	NA	NA	76787.61667	88271.58056	113682.8528
Q7LG56	NA	NA	NA	NA	NA	NA	1804.5375	3922.230556	NA	6339.455556	NA	NA	NA	NA	NA	27753.78333	NA	NA	NA	NA	NA	NA	NA	NA	2064.747222	NA	NA	9890.291667	NA	NA	NA	NA	NA	27857.94167	NA	NA
Q9Y6C2	110367.1861	104642.8528	18831.54444	NA	75727.375	NA	1804.5375	NA	127429.6806	NA	88437.70278	NA	129657.6861	NA	80102.56944	248839.1306	NA	230373.4667	140112.6278	119902.0639	61249.40278	NA	108357.3056	NA	2064.747222	NA	57523.94167	NA	89662.875	NA	127797.3361	NA	116010.1111	236030.4417	282315.8583	NA
O15144	83236.9	97335.61944	86943.43056	144444.7472	66240.01667	125103.0361	1804.5375	102711.5194	109599.3722	52008.525	82372.62778	86748.57778	82939.10556	105601.5139	87502.26389	124830.2444	109273.6861	93224.90833	87688.4	104937.0056	82784.10833	145114.2222	85464.76389	106433.9889	2064.747222	101308.6278	97932.12222	75613.88611	87958.77778	86943.43056	86748.57778	112680.0639	89524.71944	125612.2222	102116.3306	96737.89722
O00442	NA	NA	33069.91389	51189.29444	51690.70556	24565.31111	1804.5375	NA	48438.28611	NA	5836.422222	NA	NA	40204.65	NA	NA	NA	85464.76389	9837.458333	NA	54056.81111	22778.51944	NA	NA	2064.747222	7930.744444	NA	NA	20275.925	40858.48889	NA	NA	NA	NA	NA	NA
Q9BUQ8	NA	23560.06944	NA	NA	NA	NA	1804.5375	NA	NA	10482.31944	NA	NA	NA	NA	NA	12034.32778	NA	NA	5744.636111	NA	NA	NA	NA	NA	2064.747222	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
