Protein	P1Na	P2Na	P3Na	P4Na	P5Na	P6Na	P7Na	P8Na	P9Na	P10Na	P11Na	P1Ta	P2Ta	P3Ta	P4Ta	P5Ta	P6Ta	P7Ta	P8Ta	P9Ta	P10Ta	P11Ta	P12Na	P13Na	P14Na	P15Na	P16Na	P17Na	P18Na	P19Na	P12Ta	P13Ta	P14Ta	P15Ta	P16Ta	P17Ta	P18Ta	P19Ta	P1Nb	P2Nb	P3Nb	P4Nb	P5Nb	P6Nb	P7Nb	P8Nb	P9Nb	P10Nb	P11Nb	P1Tb	P2Tb	P3Tb	P4Tb	P5Tb	P6Tb	P7Tb	P8Tb	P9Tb	P10Tb	P11Tb	P12Nb	P13Nb	P14Nb	P15Nb	P16Nb	P17Nb	P18Nb	P19Nb	P12Tb	P13Tb	P14Tb	P15Tb	P16Tb	P17Tb	P18Tb	P19Tb
P43243	15739	18170	17987	16914	22248	11514	18890	17065	16141	37124	14717	67992	1	24824	67273	27334	136110	23781	107463	18124	18867	50945	12750	28913	85405	78629	81669	110191	16055	12167	31632	68355	46509	22430	60531	17363	42085	54712	11896	18161	16938	65204	143547	10259	71783	63565	16893	28313	129115	72129	1	22705	18366	26404	131699	46331	101270	160876	17757	42450	44919	25776	74114	97777	66139	102233	13856	1	29091	25861	126247	20012	23839	18835	35502	53532
P43246	1	320201	123844	44457	178161	126094	1	1	150956	1	109394	1	356925	1	142907	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	100985	1	1	50777	3400	254018	5377	1	25067	305635	113254	44999	166434	122037	62612	1	139864	1	109351	1	1	1473	142880	1	1	1	43003	1	1	1	14855	1	1	1	1	1	63510	15768	92924	1	8038	45764	1	237177	5320	1
P43307	16200	14039	24081	20151	26741	13598	21548	17142	28731	4896	14676	23313	4282	8477	37591	5106	3403	31640	18477	16103	1	12643	9970	4841	11912	10510	10954	9700	11995	9562	25685	53884	37439	34276	32068	11896	48120	27712	13739	12632	20735	17427	25894	12938	19807	16924	18147	4378	14699	21822	1	8561	36598	4204	3736	30532	16093	15980	1	14807	9789	1	10877	8773	10463	9405	10443	10214	25381	52557	43319	25049	30806	12804	45020	26739
P43358	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2141	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1781	1	1	1	1
P43487	11357	15748	16203	11384	14439	3943	12916	10977	14626	1	15053	19744	6478	5560	15425	10578	5461	16792	28160	17857	1	11581	9262	1	9707	1	7397	4631	12011	10726	24868	18579	45911	14510	23343	18802	43443	4498	9445	13511	14726	10622	13958	6042	11698	12238	15589	1	13465	20726	5333	6373	15234	10501	4555	14231	24727	15435	1	9662	9876	1	10014	1	8302	6033	10722	9453	23322	20234	44314	13525	21904	18064	42717	4403
P43490	38010	20296	103039	28307	69843	54629	44754	41465	64269	39721	51658	36100	10901	47013	26658	72478	34611	131603	22395	55225	54219	18419	36218	13618	45999	36865	27603	28431	41913	35271	39331	144334	57357	44198	40690	35524	24322	17469	36213	6236	95786	25872	67193	48876	40710	40921	60288	38106	46525	37396	11885	45232	28072	63558	31609	124803	20923	48919	48625	18293	35839	13693	45731	33461	26559	25354	38751	35995	35408	139650	53856	40893	37493	35324	22034	17330
P43652	1	1	1	1	1	1	1	1	1	10789	1	1	1	1	1	1	1	1	1	1	19714	1	1	13289	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	9449	1	1	1	1	1	1	1	1	1	1	16972	1	1	11997	1	1	1	1	1	1	1	1	1	1	14888	1	1	1
P43686	16001	11471	11913	15966	16147	4862	19611	16235	13664	1	17075	19924	4506	23508	9141	7941	5653	23837	15359	13372	1	19031	15910	1	16112	8994	12909	13764	16008	14630	24447	35290	27697	13641	18486	13680	21592	8495	14973	9287	11894	13999	14242	7867	15746	16325	12541	1	15260	22572	4489	7032	15900	6949	5335	22455	24443	13289	1	18734	16290	1	16192	9356	12449	13194	14927	14568	24590	35656	24739	11674	16666	32006	19276	8798
P45877	34402	18650	50760	38161	53153	24591	47627	38521	40230	1	42851	85802	8384	58738	20653	10046	9148	74933	60662	26976	1	48603	28848	1	31125	27888	31186	27602	37195	33867	62864	45535	22588	9450	68019	39477	43440	30928	31389	16584	48660	34364	50261	27068	46485	38619	40846	1	40099	82713	22771	55961	20949	10090	20037	69765	58610	23798	1	47127	27033	1	30598	28027	30008	25607	35708	32489	65607	45355	19325	47688	65758	36394	37137	26773
P45880	50185	35730	57958	60089	49806	37176	54450	46059	52251	16764	46978	68067	8989	28291	47164	24606	15554	65688	60799	45654	18619	62235	30923	17930	38764	35663	36501	32477	45490	38764	92007	91178	215292	82889	59953	60214	138463	34158	42114	31123	55773	55666	49700	33655	51636	47470	50174	14799	45531	71317	9911	26169	45353	24251	14821	64848	59190	40305	15988	64357	31205	16675	35021	36415	31752	30424	40323	39258	86047	87702	200500	77051	56672	59689	127400	30253
P45954	81824	1	87657	148011	143900	82182	147122	147830	209132	17428	178451	65342	21820	35928	30261	4262	1	71641	128808	60353	1	26983	86136	5777	119442	37979	80908	70407	90120	107789	88147	77485	38575	23571	30201	20562	166660	25329	74116	1	83500	135789	131000	76972	137546	138360	195100	18395	169910	60967	21982	34506	33401	4000	1	70743	118065	53503	1	28038	84760	1	114291	37245	78847	70194	83180	97881	80061	70912	34681	22611	30821	20256	152926	20868
P45973	1	4356	3430	955	1	1	1	1	1	1	1	2937	1	1	4632	3120	2810	1	8609	1	1	1	1	1884	1	1782	1	1214	1	1	3554	2654	9126	4790	3090	1318	8002	1	1	3448	3562	1	3350	1	1	1113	1	1	1	2654	1988	1599	4562	3476	1834	1	8181	1	1	1419	1	1	1	1	1	1	1	1	4042	2400	9274	3936	3578	2629	7819	1241
P45974	44421	8135	113089	54582	83478	6159	60372	86539	9593	3327	10313	57820	1	29419	59561	42186	44889	149364	12817	89126	1	12331	83917	1	48487	5518	23658	50851	44715	5366	219650	200412	334687	38344	6750	217945	463385	22276	43326	7285	88755	45842	73791	6517	8734	78858	8540	1	46939	66969	1	30656	56966	36572	38664	141038	130873	77012	1	123547	87156	1	45844	4510	5161	47426	47074	1	197456	181497	393153	38563	37465	193681	393799	19120
P46013	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	18280	1	1	15914	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	11955	1	1	1	1	1	1	1	1	1	1	17180	1	1	12786	1	1	1	1	1	1	1	1	1	1	1	1	1	1
P46060	1	1	1	1	1	1	1	1	1	1	1	20538	1	3585	3999	4595	1	7292	8668	1	1	4292	1	1	1	1	1	1	1	1	12811	11473	13281	10927	5215	1	20685	2251	1	1	1	1	1	1	1	1	1	1	1	21218	1	5912	4515	3869	1	7037	3926	2455	1	1	1	1	1	1	1	1	1	1	12137	8766	13542	10725	9799	3375	18291	1501
P46087	1	16210	1	1	1	1	1	1	1	1	1	1	1	1	8898	1	1	4880	1	1	1	2398	1	1	1	1	1	1	1	1	8530	11685	1	10243	2784	17765	18990	3206	1	13489	1	1	1759	1	1	1	1	1	1	1	1	1	8356	1	1	1	2863	1	1	1	1	1	1	1	1	1	1	1	9970	12283	7406	9716	8487	17977	18024	2870
P46199	1	1	1757	2070	1	1	1	1	1	1	1	1	1	1	2298	1	1	2810	2717	2631	1	3091	1913	1	1	1	1	1	1	1	3148	4535	4794	1	1	1	8101	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3050	1	1	2662	2123	1	1	2716	1	1	1	1	1	1	1	1	3017	3583	4071	2609	1	2013	7507	1708
P46379	1	4208	4839	5797	6830	3942	7524	5997	5848	1	6418	1	1	1	6056	1	1	14167	7908	6622	1	6444	1	1	1	3641	1	1	1	4954	7639	24330	16152	7643	9745	5207	11049	3895	4871	1	5332	4771	5975	4079	7241	1	5105	1	1	1	1	1	5770	1	1	14121	6413	5667	1	6485	1	1	1	4107	1	1	1	1	7411	21915	15653	7362	8670	4844	11250	3537
P46459	10614	15515	14725	8187	12876	1	8521	11364	7600	1	8160	24774	1	6863	14213	10249	7395	19842	17510	13420	1	35685	4357	1	4845	6877	9883	1	4024	10135	20413	29061	24852	16959	25115	18407	11442	8869	5951	13820	14490	12829	11742	4900	6800	11980	8714	1	6820	28372	1	6370	14531	13102	5854	18730	16839	9168	1	35275	5001	1	5927	6707	1	3124	1	1	20048	30370	22428	16042	23868	16405	7056	5435
P46776	33552	25332	40394	35874	39889	23368	42286	36743	39876	22006	51065	74658	12164	14280	40961	22194	15265	65752	50259	41016	32171	46193	31901	32306	39533	16665	28951	34546	11654	41326	54867	39459	50658	39311	45901	31703	65345	26144	29656	23959	41086	34143	38013	16266	40884	41858	35319	17543	48350	72247	11730	15159	35978	16798	15448	65997	47163	37013	29256	42640	27982	24767	34125	23889	30801	36622	11527	38465	58029	35850	50662	36197	42089	32325	63053	26085
P46777	28100	31643	40808	29732	47696	24633	39295	31074	37534	18102	36413	94558	20748	16185	49004	20465	18349	36699	35492	26966	21744	30046	22918	15963	28082	29638	26380	25705	31562	33006	52984	54270	57314	60487	56494	33517	70829	25609	24974	25574	37305	27140	43761	28999	37582	29280	35714	15963	37396	87095	14105	14986	46441	22004	15981	36233	30647	23353	19375	28708	20693	16325	27577	26952	25570	23284	29973	30513	51736	52690	54075	58273	56495	29808	68271	23285
P46778	28560	557477	43803	29153	49041	27928	26774	15875	51971	212682	53524	62294	30655	622712	45131	30259	23133	38187	35804	21613	385422	28700	23374	361161	32529	23930	24456	31380	32007	20541	37650	29566	48440	37598	38745	26307	70060	17968	11588	42778	20962	26893	45470	26186	31049	30208	22233	157124	28076	57575	629718	664123	46315	20605	20889	38429	32479	18301	364808	28997	12619	299834	31573	24362	22995	29158	31103	527576	34574	28149	44840	32597	35163	25564	67782	16968
P46779	1681	2016	4077	2356	3076	1	2043	3152	2246	1	2500	1136	1	1	2956	1	1	726	2863	2242	1	1808	1625	1	2045	1	1834	1909	2039	2248	4151	5254	3997	3140	1881	1859	5129	1268	1266	2016	2403	1908	3331	1	2709	2862	2241	1	3199	2818	1	1	3915	699	1	1	2578	1342	1	1	1935	1	1603	1	1	1	1	1499	2217	3169	3484	2552	2812	1547	4301	954
P46781	29282	33805	45870	43335	47170	26472	33352	31816	30157	18768	41521	58578	14061	9605	56330	20336	23064	24872	46414	38381	30197	31453	29556	30875	27950	33947	29543	29133	27301	34697	62807	90260	49122	61040	77909	25420	59082	36880	25527	30929	38285	38212	41426	22471	31804	29601	32201	18994	40958	54960	14511	8573	55135	17405	18192	22334	38841	34064	28687	28836	25999	28986	28409	32247	27729	28264	27649	34004	58858	91504	44158	60422	77627	23344	52974	35042
P46782	4685	4584	6866	5791	7924	5505	6329	5252	6743	3092	6129	8873	1	2218	6631	24116	19884	5301	8811	4326	4767	5051	3662	3736	4480	4295	3634	5750	3532	4886	7693	17770	7027	9022	14736	3383	21818	7134	4554	3554	6197	5430	8363	4405	6388	5457	6667	2816	7125	8171	1	1731	7291	22683	1	5275	8423	3970	4298	5099	3095	3274	3945	7289	3761	3300	3510	5023	10790	10806	6685	8743	9551	3271	19439	4167
P46783	4826	1	1	12616	5368	1	6295	6642	1	1	1	50881	13072	8437	1	33019	12229	7170	1	1	1	6209	8021	1	13717	5600	6303	1	9495	1	10868	9088	10137	7911	39231	1	9999	1	1	1	1	1	1	1	1	1	1	1	1	55472	12201	1	1	36066	9517	6910	1	1	1	1	7198	1	1	1	5319	5346	17026	10192	10554	9136	9599	6756	40978	5570	7807	1
P46926	1	6973	28633	1	8072	4250	15241	14604	20305	1	20554	39376	21382	16282	18315	16605	5763	5613	24852	2909	4946	1	1	1	1	22129	12482	11212	13095	14061	37220	30533	52974	18556	29852	20907	7159	16423	7630	16723	27445	1	2216	4433	23763	18358	22332	1	22943	10031	22095	15218	17551	15804	14166	5664	13934	1	4691	24580	1	1	12128	5292	1	9339	12362	13447	13202	33025	25201	8086	32714	19352	43457	1
