Protein	P1Na	P2Na	P3Na	P4Na	P5Na	P6Na	P7Na	P8Na	P9Na	P10Na	P11Na	P1Ta	P2Ta	P3Ta	P4Ta	P5Ta	P6Ta	P7Ta	P8Ta	P9Ta	P10Ta	P11Ta	P12Na	P13Na	P14Na	P15Na	P16Na	P17Na	P18Na	P19Na	P12Ta	P13Ta	P14Ta	P15Ta	P16Ta	P17Ta	P18Ta	P19Ta	P1Nb	P2Nb	P3Nb	P4Nb	P5Nb	P6Nb	P7Nb	P8Nb	P9Nb	P10Nb	P11Nb	P1Tb	P2Tb	P3Tb	P4Tb	P5Tb	P6Tb	P7Tb	P8Tb	P9Tb	P10Tb	P11Tb	P12Nb	P13Nb	P14Nb	P15Nb	P16Nb	P17Nb	P18Nb	P19Nb	P12Tb	P13Tb	P14Tb	P15Tb	P16Tb	P17Tb	P18Tb	P19Tb
A0AVT1	1	1	2760	1	3657	1	2831	1	1	1	2651	5447	1	1	1	4934	4650	3423	4191	1	1	2836	1	1	1	1	1	2266	1	3015	1	1	1	1	5322	1	1467	1	1	1	2552	3063	1	1	2577	3400	2241	1	1	5634	2190	1703	3198	1	4087	3604	3321	1	1	3237	1	1	1	2756	2295	1	1	3035	1	1986	1	3392	5888	1	1	1
A0FGR8	357366	9037	1	338382	13204	130595	473616	454043	449952	1	569975	103022	119137	171479	6892	8089	1	13125	7935	1	1	219788	708932	1	515908	95558	384517	382117	425581	707055	188439	17828	1	1	107679	205524	7457	32766	326304	8349	219097	328967	320055	1	475628	476834	416530	1	1	13046	1	165084	1	7600	1	160968	76452	381913	1	193488	662826	1	484497	1	396595	365144	1	585691	185423	1	1	1	103113	12172	5679	1
A0MZ66	3515	1	1	4703	4511	1	1	1	1	1	1	1	1	10867	6063	4537	2715	21602	3849	1	1	11323	1	1	1	1	1	1	4449	1	16219	14279	1	11060	1	4752	1	9299	1	1	1	1	1	2637	4079	8744	1	1	1	1	1	11138	4158	5515	1	22117	4188	1	1	10707	1	1	1	5494	1	1	1	1	14891	11988	1	3767	1	1	1	9586
A2RRP1	1	1	10966	14931	1	6571	11732	1	1	107933	45449	1	1	1	1	1	1	1	1	1	48288	120683	1	118330	13197	4809	1	1	1	1	1	1	1	1	1	1	1	1	1	1	9881	13773	7052	1	12063	1	1	136488	43862	1	3627	2811	1	1	1	1	1	1	46669	111794	1	115058	12136	1	1	1	1	1	1	1	1	1	1	1	1	1
A3KMH1	24376	31221	28165	22122	33409	25321	26463	19224	25748	10544	26048	10523	6592	11224	25921	18055	11017	30842	17688	20958	27636	25773	16122	10264	18466	7892	17255	13063	18145	16990	60719	57742	39617	42977	26699	25572	84058	41627	22564	25894	28373	21433	27707	20408	9532	20286	27325	10749	24921	8685	6472	11185	27589	15951	10190	19792	16618	17280	23022	19742	14261	8872	18421	1	17765	12422	9653	4564	57551	49408	36726	35741	19346	25921	78983	3741
A4D1E9	1	1	1	1	1	1	1	1	1	364662	1	1	1	113849	1	1	1	1	1	1	200433	1	209948	300158	1	1	1	1	1	293149	1	1	1	1	1	1	1	178330	1	1	1	1	1	1	1	1	1	327746	1	219189	1	110941	178082	1	1	1	1	1	151780	1	1	267989	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A6ND36	1	1	1	1	1	1	36252	1	1	223053	1	1	1	1	1	1	1	1	1	1	171174	1	1	205039	1	1	10326	1	1	1	1	1	1	1	1	76088	1	1	1	1	1	1	1	1	1	1	1	252463	1	1	1	1	1	1	1	1	1	1	144234	1	1	219366	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A6ND91	37664	1	28617	36503	35366	42578	43844	46909	45184	1	42150	1	12514	1	1	1	37780	2811	1	2556	1	22368	48798	1	45297	21375	30182	33493	40113	43456	26724	12953	1	11927	1	3358	12974	12698	34667	1	28813	31239	34703	39333	41561	41960	42931	1	41773	1	10968	1	1	1	1	2552	10363	1	1	22009	44825	1	43732	19535	30518	30113	38147	46019	27380	11403	1	1	10002	9231	1	9964
A6NDG6	1	1	1	1	1	1	2430	1	1	1	1	1	1	1	1	1	1	6510	1	1	1	1	1	1	1	1	1	1	1	1	1	4492	3854	1	4413	1	3018	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5588	1	1	1	1	1	1	1	1	1	1	1	1	5500	4817	2787	1	4056	1	2996	1
A6NHL2	120761	1	1	125184	1	1	1	90908	79821	1	88772	38799	1	1	1	1	1	1	1	46253	1	68138	184049	15718	129545	1	110689	154787	170329	142265	120738	59866	1	1	1	27598	1	34350	109355	1	1	118389	91607	33646	121593	108441	1	1	1	1	52294	236549	19481	1	1	64235	1	52821	1	1	169994	1	126599	21939	115232	1	1	128765	1	1	1	1	19925	1	1	32749
A6NHR9	44066	1	1	56392	56790	39688	74249	45467	45609	20890	39439	1	41470	50835	40681	1	1	96531	81607	23550	20018	43898	47453	1	52545	60019	32450	39358	22351	43564	64267	71938	45319	60666	20690	80848	44374	69388	36543	1	24017	54794	56381	34825	68756	42893	37466	16123	39484	1	39350	46968	38110	1	1	88314	81051	26113	16442	40590	42764	1	43386	63422	25488	39493	18377	38242	60905	68201	4122	46281	20182	77533	49345	69770
A6NL28	18443	37202	26910	19170	32882	22728	23804	21751	27728	11440	30390	15816	13086	17120	50547	27641	17851	30247	34084	25782	23567	29071	15797	21098	15733	21803	16551	16261	13808	13467	27548	35743	64713	39886	27563	31578	49033	25366	15777	31573	25637	16840	29805	22416	23097	7954	25975	11977	27935	16465	12784	16204	51264	27942	15491	27243	32141	22309	21707	29731	13461	20208	16200	21528	14418	13638	13321	13140	27155	32720	60787	38261	26427	30761	43798	23572
A8K7I4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1674	1	1	1650	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1550	1	1	1807	1	1	1	1	1	1	1	1	1	1	1	1	1	1
B2RTY4	154596	1	1	168914	1	1	1	144801	1	163918	1	209563	1	56672	141936	83717	560011	73800	1	1	89879	103769	127168	118819	275027	242022	229757	1	1	196677	1	1	1	282016	1	1	1	182637	122782	1	1	167434	1	1	1	1	1	118587	1	169179	428445	53670	139989	85193	547369	1	278340	585571	90581	1	120309	101165	246700	247806	234525	304630	1	156078	1	1	1	1	1	1	1	130825
B2RXH4	1	1	1	1	1	13856	1	1	1	114301	1	1	1	1	13086	1	27276	1	1	1	145148	1	1	45767	1	1	1	1	1	1	1	4252	1	21479	6744	1	1	1	1	1	1	1	1	11886	1	1	1	112120	1	1	1	1	12598	1	26180	1	1	1	140739	1	1	42009	1	1	1	1	1	1	1	1	1	20587	5717	1	1	1
B9A064	33755	222096	79722	35057	86218	174044	30677	43537	67738	1	62495	27527	82235	14312	53710	24842	94370	16274	106589	16975	31017	24718	16217	17056	18012	34950	45596	16691	27029	10581	51003	21236	36872	50448	25076	40997	26519	15139	23604	160480	75080	29466	64421	155432	31666	42310	61913	21170	58371	30473	83733	28662	51917	36403	82702	11637	100679	21339	34923	20597	16915	8494	7080	33177	44285	22950	21869	14883	55959	22748	30501	46135	24725	40765	16272	9808
O00115	7029	1	1	11133	10788	7102	12238	6291	10206	1	8762	9324	1	8858	10092	11900	7234	7006	6625	9604	9852	7234	15130	1	9834	13170	9794	8312	12398	8544	13654	6879	1	10832	14212	16461	6238	5717	6111	1	7870	8904	11302	7271	11546	6321	10459	4281	8592	9454	1	7286	9348	12383	7205	7668	7092	8826	10176	1	12732	1	9713	12448	8760	7235	11510	8387	13399	6958	1	8990	13967	15934	4331	5775
O00116	1	1	1	1140	1524	1	1140	984	1	1	1	2395	1	1	1	1	1	2275	1	1	1	1	1	1	1	1191	1	1	1	1	2246	2427	2271	2194	1526	1187	3710	3295	1	1	1	1	1	1	1	1	1	1	1	2067	1	1	1	1	1	1629	1	1	1	1	1	1	1	1	1	1	1	1	1677	1916	1832	1709	1	1	3218	3273
O00139	1	1	1	356893	1	1	1	334421	1	1	1	344775	1	1	360768	1	1	1	1	1	1	1	331105	1	358104	1	1	1	1	1	299353	1	1	1	1	1	1	282295	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	309502	1	341141	327236	1	1	310380	1	1	1	1	1	1	1	1
O00148	12586	11370	1	13219	12254	1	12128	10865	1	13147	12030	13390	9937	14603	15548	12697	10589	12788	41443	13021	12574	12028	12403	11391	13213	11234	9449	10131	13824	9722	8725	10926	10907	15002	9089	37222	12891	7173	8067	9312	1	12958	11674	10339	10306	10018	1	1	1	10399	10491	12698	13412	11137	10315	11247	40024	14415	12523	8985	11590	8812	10285	10503	9534	10344	8575	9973	1	11419	2202	10496	1	1	5099	8443
O00151	24713	88876	62811	28151	40144	20427	33004	23179	32399	1	34139	1	53273	43170	45751	78851	16604	74091	58494	1	1	109088	26418	1	23662	18282	20669	19429	52429	25399	89836	65603	56108	39534	16705	63089	15816	29983	23711	80746	58806	23186	32889	18755	29446	26955	29632	1	30799	9915	53491	40517	48191	67916	13796	72487	52604	18544	1	97836	24366	1	23466	17602	21792	17333	28138	38827	83951	62773	35319	35341	20066	60952	13650	29199
O00154	1	3275	3433	2970	1	1	1	2681	1	1	1	8464	1	2458	4167	5788	3842	4609	4456	4255	1	2962	1	1	1	1	1	1	1	1	1	4561	4746	5050	4461	3607	4378	2686	1809	2634	2712	2746	1	1762	1	1	1	1	1	7823	1	2634	4638	5997	4146	4994	4723	3812	1	3021	1	1	1	1	1	1	1	1	3480	3822	4847	3867	4305	3053	4528	2192
O00159	14046	38123	22359	15356	21620	13965	10882	13711	17542	1	19993	4844	1	1	15524	1	1	9581	12595	4204	1	4662	8788	5874	11483	7858	10482	6773	12182	12144	10088	8129	6673	17250	6324	24689	7824	11422	7593	34651	21228	13322	18208	13894	10720	12806	15410	1	17962	4588	1	1	15679	1	1	15555	10860	1	1	1	3869	1	12711	12591	5946	11665	12591	11308	15662	12669	5745	19120	5262	22141	6614	10827
O00160	82059	2777	114065	26009	146045	82825	1033	151359	104520	15752	1392	142782	42347	5185	4718	1	1	15124	52242	146528	1	4144	45267	7689	198403	41344	72078	75036	53303	94660	54588	22216	19373	56300	34692	15286	1	10307	74200	2293	94377	71119	140930	65031	23146	160064	114495	16940	149468	97130	45063	1650	21890	1	1	13804	37826	41924	1	2952	98394	8278	151140	29138	73866	1	59299	152900	52678	22732	108139	77622	33702	1778	93030	1
O00170	27775	91485	59210	25447	76118	39414	30056	30478	82877	1	86414	51807	44188	40166	56394	33422	30123	29205	79401	36182	6819	46613	19130	1	40782	26293	1	34458	34625	17127	75070	33186	69171	35922	38541	102527	44436	25238	23620	70574	62984	26206	60665	45905	26384	29582	68178	1	81142	48993	32761	37357	58541	29088	25914	26889	79788	26337	6176	45233	20545	6769	32985	23360	24038	33009	26411	15190	70714	31713	60937	34853	37598	92685	41682	25119
O00182	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3092	4896	1	1	1	1	1	1	1	1	1	1	1	1	1	1599	1	1	1861	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2528	3789	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2071	1	1913	1	1501	1	1
O00186	91626	257242	176851	101261	198301	122850	100082	101360	223766	5610	204144	92107	110871	95432	154307	68113	96204	66281	201561	85656	26682	116465	65147	24237	109845	92377	87982	122583	105614	61613	204825	80596	173242	110909	100039	293407	112888	78134	85072	247319	157003	88260	191799	116390	93251	96900	227617	6844	215823	92503	109140	94944	165834	65672	84746	57541	194128	77293	23161	123232	65876	25314	129019	85170	81111	118973	104964	63532	207434	77359	175757	102403	89871	286731	102836	75806
O00203	1	10610	5343	9586	10552	5442	1	3512	1	1	1	5997	1	128380	13664	5478	3326	13719	12661	5020	1	13365	3192	1	1	4398	1	2839	1	1	14756	26751	29301	17488	14012	7060	21590	2505	3789	8319	5304	4167	5617	9250	1	1	1	1	5117	5715	1	4012	8052	4605	2652	12587	12792	4970	1	66693	1	1	1	4687	1	1	1	1	11386	23332	27078	19352	13901	7977	21733	1
O00231	5840	17342	20504	17863	20869	4586	20826	7663	20665	1	21257	26985	4023	5404	29403	13459	14638	66159	27844	32200	1	20519	11286	3938	7348	12811	12563	5399	13087	7098	46957	73160	45369	32715	26687	26240	31449	21926	5407	16691	20439	6472	7108	11895	14397	7224	18996	1	7755	18006	4537	5965	27817	6369	12329	61857	26900	30611	1	18816	6596	1	6303	12462	12342	5357	6124	7667	44465	65038	40593	27834	22679	24613	32491	21389
O00232	6438	6995	7364	6947	7150	6511	8395	7116	7866	1	7588	1	5371	3801	11009	20385	7238	9325	8493	11372	1	10247	6360	1721	1	6895	5480	1	1	5154	11188	15413	14911	12828	9628	12422	11922	7842	5080	1	5738	6274	6001	6119	9760	1	6733	1	8163	10678	4136	1	7338	16436	4284	8521	7859	7305	1	10626	5617	1	5347	4610	1	5959	1	6800	9821	14783	13399	11668	8253	6514	10725	22658
O00244	1	1	1	1	6594	4664	1	1	1	1	2631	1	24898	23194	3284	1	1	37637	30429	1	1	13964	1	1	15082	20393	1	1	1	1	7638	10038	5415	7467	4284	26841	6240	4303	3864	1	1	1	5948	1	1	1	1	1	1	1	1	21566	1	1	1	32604	1	1	1	14544	9601	1	1	1	1	1	1	1	7754	9875	5183	6544	4174	23468	5365	3764
O00264	114765	13712	48606	105438	110233	70143	95178	108996	104389	27449	70377	22504	10404	27054	20009	1	1	377348	52530	49939	7302	40283	47628	24993	48133	54562	57245	46394	57030	49970	47567	55869	47250	39272	67127	35940	33855	62317	105547	9332	54513	95813	97516	59061	88748	99711	92812	24642	68571	22669	10710	26284	21132	1	4859	358771	47567	45398	1	42287	49006	24905	49047	48554	54093	39592	56913	46262	46289	53686	51427	38968	64533	27573	32042	55575
O00273	1	1	1	1	1	1	1	1	1	68571	1	1	1	1	1	1	1	1	1	1	33615	1	1	40694	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	66799	1	1	1	1	1	1	1	1	1	1	29825	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
O00299	22154	58778	46073	30911	46382	46250	33996	28162	29418	34416	11878	42860	23210	36182	79556	55637	56869	65057	73619	26038	90434	57648	18506	52900	8781	32705	23586	20157	20328	8782	50254	158753	120277	123107	89465	65710	160122	33593	20174	54287	42963	28062	41097	44480	31457	27896	28615	32369	28494	36913	25134	32132	83392	57523	53594	61433	69847	26205	78646	58020	7254	50409	7303	33138	20652	20293	20308	20041	46075	144841	104217	115889	90579	62727	163980	30701
O00303	4695	1	1	4410	12088	8853	6810	3977	1	1	8500	16466	13699	24972	9409	16387	1	14040	10107	1	1	23271	1	1	1	6452	1	1	6661	1	18509	14444	12440	14043	13935	12985	27795	4623	3952	1	10984	1	4040	11072	5881	1	1	1	1	14822	1	23517	13078	1	67287	9765	12686	1	1	4953	1	1	1	1	3332	1	1	1	9147	14556	12883	13182	17131	5850	26371	3514
O00329	1	1	1	1	1	1	1	1	1	15376	1	1	1	1	1	1	1	1	1	1	25704	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	27234	1	1	13770	1	1	1	1	1	1	1	1	1	1	1	1	1	1
O00330	1	1	7016	1754	5737	4437	1	8340	4710	1	6355	4199	1	2883	3016	1962	1773	6290	8061	1	16081	8575	4349	1	3890	2579	1	1	1	1	11995	6366	14395	7521	1	7868	14577	3143	4395	750	4229	4510	6513	2683	1	8442	4838	1	8338	4171	1	2782	5854	1	1	6136	7132	2786	13842	9268	1	1	3963	2659	1	1	2868	1575	12306	5460	14695	6652	2091	1	14169	4439
O00338	1	1	1	1	1	1	1	1	1	1	1	7284	1	4254	1	3324	1	1	1	1	35554	1	1	15439	1	1	1	1	1	1	1	4410	11059	1	6255	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7271	1	4197	1552	3306	1	1	1	1	29684	1	1	18017	1	1	1	1	1	1	1037	4666	9820	1	6204	1	1	1
O00401	1	1	1	1	1	1	1	1	1	29679	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	53371	1	1	1	1	1	1	1	1	1	1	1	1	1	35264	1	1	1	1	1	1	1	1	1	1	1	1	1	1
O00410	1	1	3070	1	1	2068	1	2143	2509	1	1	1	1	1	2273	1	1	1	6710	2173	1	3662	1	1	1962	2300	1943	1601	1	1	2605	5094	15059	5535	4328	1	6457	2193	1	1	2734	2213	2270	1	2093	1781	1	1	1	1	1	1	2503	1	1	2736	5087	1	1	3506	1	1	1	2119	1	1	1	1	2859	4796	13561	5636	4357	1	5998	1
O00425	1	1	1	1	2942	1	1	1	1	1	1	9434	1	1	3917	1	1	2712	1	1	1	2525	1	1	1	1	1	1	1	1	1	1	1	3073	12154	1	26975	1	1	1	1	1	2011	1	1	1	1	1	1	3639	1	1	1	1	1	1783	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	9502	1	26334	1
O00429	36768	138836	177443	34833	1	1	40635	1	134472	19148	98858	50073	120159	16026	32327	25066	120984	21639	61726	116928	24538	24111	25107	30288	47360	39204	1	66559	84107	37140	35165	30716	69161	53643	19089	39717	44476	27713	31384	127299	163478	1	84888	78919	35765	31658	133275	16811	93210	48487	115546	16494	31443	21947	108900	18269	54869	109666	24350	23104	23387	29178	48550	39730	40280	1	76828	33212	33076	28259	56953	1	17758	37471	38998	24166
O00442	3069	2663	4306	2271	3713	2863	1	3304	3638	1	1	1	1	1	3847	3507	1	3639	3405	3145	1	5331	2220	1	1	2352	1	1	2095	2377	5691	5819	11305	6484	9079	2943	8156	2686	1	1	1	1	3765	3153	3505	3404	3277	1	2766	4097	1	1	1	1	1	3897	1	3332	1	5121	1	1	1	1	1914	1	1938	1	5230	5914	11874	5274	8717	2735	6687	2555
O00468	2485	43914	17378	12362	19727	12584	4925	1	10495	35356	18399	1	4410	10717	69070	1	1	15698	16053	12067	2608	20861	2866	24986	1	7569	3848	2250	3866	1	33360	15447	16742	25283	16170	20737	12012	9509	2302	39381	16783	10927	17493	12062	10991	1	10158	33325	17505	1	3891	5642	70261	1	1	13983	14241	10662	2454	20229	1	23042	3047	13137	1	3844	1	1	31220	13950	15688	22661	5868	19596	11670	8901
O00479	5468	6698	9675	5981	9055	3459	4724	6032	8117	1	7672	18633	5568	5628	5843	4492	3952	7983	13288	17485	1	6961	4999	1	5845	3619	5134	3868	7453	5515	13814	11914	16794	7003	18560	19964	8883	3717	4925	4801	8654	5081	7779	1	4956	4383	7640	1	5652	17547	5420	4701	5775	1	3123	6856	11117	14731	1	6374	4588	1	5310	1	5158	4572	5167	4312	12022	12579	17536	6213	16430	18091	8529	3772
O00483	17853	4048	22288	21192	23051	13470	35217	20716	19578	5237	21318	20301	5312	7194	7266	5692	3710	33732	16548	19909	1	33645	20299	1	21466	21000	20096	16628	20526	28962	32452	32559	12751	26540	12646	12233	34242	20376	15997	1	20291	18575	20413	11743	29275	20763	17972	4925	18721	23400	5160	7844	9151	5125	3224	30702	17105	17386	1	31669	16914	4850	20681	20633	16887	14872	18981	26331	29886	27844	16538	25502	15431	8154	31682	18679
O00487	7873	5845	9593	8562	7434	5102	9669	9650	7563	1	9107	8315	1	5025	7898	4162	4129	13941	10672	8278	1	12037	7666	1	7875	4490	6341	5918	7056	8289	13781	23008	19953	8003	9830	10547	16097	8410	6647	5450	8487	6927	7204	4608	9463	10413	8049	1	8595	7856	2792	4780	7619	1	3631	12430	9644	6950	1	12150	6160	1	7718	4329	6235	6667	6490	7751	11494	19075	19461	8743	8385	8338	16834	7338
O00505	1	1	1	1160	1	1521	2396	1	1	1	1	2966	1	1	1	1	1	1	1	1	1	1	1	1	1807	1	1	1	1	1	1700	2657	1935	1	1	1	2729	1366	1	1	1	1	1	1	1	1	1	1	1	2681	1	1	1960	1	1	2397	1	1	1	1	1	1	1	1	1	1	1	1	2111	1935	1911	1	1	1	1	1
O00515	1	1	1	1	1	1	1	1	1	1	1	13094	1	1	13402	26700	1759	4220	1	3923	1	1	1	1	1	1	1	1	1	1	9807	11385	55914	2611	21716	1	11830	1	1	1	1	1	1	1	1	645	1	1	1	11058	1	1	11291	23333	1	1	5166	4359	1	1	1	1	1	1	1	1	1	1	14379	11214	48676	5903	21076	1	11241	1839
O00567	4872	5900	4797	5356	5926	2944	5176	3898	4543	214269	5439	6231	1	1	7082	1	109780	10184	7343	3358	1	9078	3978	124301	4899	1	1	1	4305	4155	18959	8156	15758	6849	7750	7559	52491	3277	3635	1	4334	4570	5522	2814	4202	3532	4405	1	5455	15473	1	1	8351	1	1	6489	8090	28583	55435	7181	1	1	3973	142498	3352	3093	4642	3844	16906	7341	13673	7458	8548	2484	50556	2893
O00571	18212	17739	9053	9352	22562	6837	18446	11045	1	1	9351	46598	1	5721	21896	17232	1	28831	30710	1	1	18075	1	1	8664	8638	1	1	8589	8841	31626	45621	37865	28606	33163	21966	35626	12985	18241	15799	19070	9559	9371	7493	19138	20569	8272	1	9301	45106	1	6936	25367	15532	1	28198	29063	1	1	19462	1	1	1	14717	1	1	1	1	32815	43136	37495	25997	32147	20433	32243	11911
O00584	3758	10129	3482	1	4713	2918	9476	9537	4097	1	4306	1	1	1	1	5653	3348	2141	9299	1	1	1	1	1	1	9139	4752	1	5725	1	1	1	1	2693	1	3045	29993	2345	5474	9977	2789	1	4178	2273	4434	4531	3688	1	3817	1	2142	1	1	2839	3042	1784	1	1	1	1	1	1	2197	1	1	1	6144	4805	1	1	1	1	1	3947	29991	2040
O00748	69575	1	66553	67894	92227	61786	77576	56517	104600	1	59510	1	5105	22412	10904	1	1	136120	5124	20927	1	19430	14798	1	37624	32307	38850	26617	37693	33470	69897	41677	13254	23644	48566	5156	1	53139	61084	1	59700	62694	84077	57013	74567	58468	96250	1	56920	1	4457	9639	4230	1	1	127977	1	36995	1	37948	33005	1	33648	32447	34322	24020	31388	30878	70032	39023	7692	20970	45626	1	1	48976
O00757	92225	7678	70477	84130	89718	51264	128650	155624	137778	23852	154212	33578	20507	22111	14183	1	1	20683	17505	136519	1	67057	86899	10473	91321	42030	88731	81327	61417	115773	49681	16404	12507	15988	13488	34157	11855	11863	91907	1	65213	73572	79717	44257	111785	143352	139081	22371	162732	25631	20733	20828	13840	4793	1	14120	12553	116138	1	66093	88913	9927	86972	32939	80215	76360	60019	117059	40875	14464	11752	14952	12363	29533	10370	12293
O14497	1	1	1	1	1	1	1	1	1	121242	1	1	125190	1	1	1	1	1	1	1	56157	1	1	128006	1	186441	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	86745	1	1	1	1	1	1	134142	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8599	1	1	1	1	1
O14530	1	1	1	1	1	1	1	1	1	1	1	3169	1	1368	2089	1908	1	1804	1	1	1	1649	1	3697	1	1	1	1	1	1	1576	2267	2554	2115	1522	1	1	1	1	1	1	1	1	1	1	700	1	1	1	3223	1603	1	1930	1442	1319	1	1	1	3050	1442	1	3046	1	1	1	1	1	1	1343	1	2320	1	1241	1	1625	1
O14531	1	1	1	1	1	1	1	1	1	76430	1	1	1	1	1	1	1	1	1	1	71832	1	1	121493	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	65375	1	1	1	1	1	1	1	1	1	1	87308	1	1	118155	1	1	1	1	1	1	1	1	1	1	1	1	1	1
O14558	1	59109	16178	3123	14055	11629	5908	1	4871	3823	5977	1	25068	1	17073	1	1	1	2528	1	5048	1	1	11581	1	3821	1	1	1	1	13135	1	1	9957	1	53025	4817	2916	1	56768	14983	3144	10078	7802	1	1	3891	1	5199	1	26520	1	16864	1	1	1	1	1	1	1	1	11186	1	1	1	1	1	1	7720	1	1	9069	1	46467	4897	2532
O14579	5926	1	1	1	1	1	7489	7839	6345	1	1	1	1	1	10782	1	1	10352	9446	7725	1	9199	1	1	1	1	1	1	1	1	13236	12117	16860	1	11303	8809	11722	6417	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10060	6223	1	9881	9004	1	1	8294	6546	1	8741	1	1	1	1	1	11389	9966	16036	9427	1	8702	12882	6442
O14617	1	1	1	1	1	1	1	1	1	20622	1	1	45453	42933	1	57252	56442	1	1	1	37738	1	1	30844	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	17403	1	1	40819	40594	1	1	49235	1	34974	1	35876	1	1	27840	1	25328	1	1	1	1	1	1	1	1	1	1	1	1
O14734	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6146	1	1	1	1	1	1	1	1	1	1	1	1	3592	1	1	1	1	1	1	5955	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6449	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5333
O14737	1	1	4874	1	1	1	5698	1	1	1	1	23134	1	6718	23320	16428	3612	29908	20534	6547	1	17971	1	1	1	1	1	1	1	1	18550	17845	33506	17476	20735	16227	39595	3335	1	5160	13947	3702	1	1	1	1	13263	1	16715	10406	4073	11862	20766	13334	1	29102	17748	4589	1	18666	1	1	5168	1	1	1	4368	1	18341	16239	32842	16683	21536	5277	41127	1
O14744	1	1	3999	1	3693	1	1	1	1	69818	3512	1	1	1	1	1	1	1	1	1	159329	18689	1	1	1	1	1	1	1	1	1	1	5394	5616	1	1	8034	1	1	1	1	2766	2867	329983	1	3512	1	1	1	1	274872	1	1	1	1	1	3151	3560	142964	1	1	119758	1	93133	1	1	1	1	3308	2997	4955	4231	1	1	8217	1
O14745	8321	1	9378	7681	8314	4184	12987	9296	8298	1	10408	21716	6807	11570	25699	4318	6811	37029	24162	9037	1	79287	7496	1	8372	5163	5363	7242	7289	8834	25438	68037	50076	30494	28586	7922	71280	23091	6339	1	8958	6398	7018	1	10427	9944	8172	1	11092	27105	1	10511	27551	4384	5240	35975	10056	8729	1	66690	7359	1	7767	5058	5859	5923	6395	7914	25215	63519	44282	31429	10561	7642	69675	19322
O14757	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	17088	1	1	10402	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	9610	1	1	1	1	1	1	1	1	1	1	18480	1	1	1	1	10329	1	1	1	1	1	1	1	1	1	1	1	1
O14773	65673	61962	66504	87267	95391	47026	118506	67327	83625	14449	91373	45173	29486	50075	50333	23466	15495	102448	72929	58125	11743	97326	86181	36152	111035	58670	68901	61248	88174	80609	102200	139713	57129	65717	31386	67027	65595	108847	60821	51274	56373	73393	86576	43954	113622	70556	74810	13857	87562	46252	29440	48598	47851	15873	13883	96169	73004	54884	11184	89223	77679	14225	110631	62774	69156	61213	83901	77519	103464	140167	65540	63237	31198	61232	59155	105701
O14776	1	1	1	1	1	1	6819	15125	1	1	1	43165	28725	1	34008	77856	26388	4608	58409	14812	1	214794	1	1	13896	1	1	11735	12034	12270	26429	154570	1	43219	1	39623	19891	26130	9074	1	25906	1	1	1	16945	14267	1	4114	1	40664	25217	22359	34751	72126	22214	15988	32559	1	1	211361	1	13310	1	18050	12114	1	7581	13555	28225	139660	1	1	23181	31369	1	23798
O14802	1	1	1	1	1	1	1	1	1	1	1	1	1	286	1	1	1	1	1	1	1	1	1	1	1	1	1	1	182	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
